GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDCAS,G18USSRBAR,G18USSLKER,G18USSGGAL,G18GOVDWOL,G18GOVRWAG,G18GOVLKRA,G18GOVGGLO
42001000010,42,001,000010,122.61786574832652,189.63700154961145,5.12706912295938,2.0505858338204646,122.81776497583355,191.47675455629306,2.10076864203545,2.0627285102687316
42001000020,42,001,000020,150.0488188976378,176.8787401574803,5.962204724409449,2.9811023622047244,158.99212598425197,170.91653543307086,3.9748031496062994,1.9874015748031497
42001000030,42,001,000030,74,103,1,2,76,98,3,2
42001000040,42,001,000040,288.91059691968195,574.8169174119323,13.995141284987291,4.998590414649331,317.9021506114514,553.8216764532722,8.997476994431779,4.99866165496424
42001000050,42,001,000050,152,231,3,7,168,215,5,2
42001000060,42,001,000060,222,375,7,6,231,368,6,5
42001000070,42,001,000070,327.46563834645036,690.3421660533455,9.931932543626385,5.947718848209729,359.1804496046989,651.706357946762,8.931112170619679,4.957491695542006
42001000078,42,001,000078,327.3216526274661,581.9362258757919,10.825594539428957,9.806113266371895,325.4463530136462,581.868032987336,12.748629175168022,4.913285566454335
42001000082,42,001,000082,336.4937394816425,553.698942170969,10.638604194131686,4.68195297814832,349.3213040735433,534.1402475776908,10.902125817525596,5.574780678065879
42001000090,42,001,000090,472.69493550412085,686.2141425186805,6.718405119170565,1.9771480063989633,501.47043516999776,646.9971245165341,14.309792843691149,4.816525929975903
42001000100,42,001,000100,477,863,6,8,506,827,9,7
42001000110,42,001,000110,481.9090909090909,443.9404958677686,7.788429752066116,2.920661157024793,518.9041322314049,410.8396694214876,4.867768595041322,1.947107438016529
42001000120,42,001,000120,213.7755091087987,454.3671467048312,8.170841905443414,6.085707186658318,240.84603993360963,430.46068159456155,11.043998529075603,2.0608922945426715
42001000130,42,001,000130,434.0909090909091,448.05950413223144,17.211570247933885,5.079338842975207,466.09586776859504,420.1603305785124,11.132231404958677,5.052892561983471
42001000140,42,001,000140,487.6261778910513,437.27370209315075,10.96597079092216,7.0216683679782745,508.49631041546,417.85467082218486,8.191538652686157,5.71118259890292
42001000150,42,001,000150,204.67768595041323,343.18801652892563,6.175619834710744,5.293388429752066,217.02892561983472,334.36570247933884,5.293388429752066,2.646694214876033
42001000160,42,001,000160,109.0151418244472,134.0295526642659,2.0005743450652385,2.0003654923142427,112.01571616951244,132.0287694664497,3.0003132791264937,1.0005743450652385
42001000170,42,001,000170,319.47742218325294,583.1880754055239,20.79438842612889,6.616396317404647,330.81981587023233,571.8456817185445,14.177992108724244,11.342393686979396
42001000180,42,001,000180,311.1488163369739,603.2841455455259,15.757848014962521,8.207865119544792,345.2771436256119,574.1125268399568,14.469217431399239,2.482242750697798
42001000190,42,001,000190,168.30520747846128,274.33328210988435,5.947533996168494,3.957628933772824,179.4524959312093,266.7694728013084,5.832777894415012,1.2283148813657003
42001000200,42,001,000200,302,798,10,14,336,771,7,7
42001000210,42,001,000210,470,208,10,13,478,206,10,8
42001000230,42,001,000230,672,193,14,11,689,174,15,9
42001000240,42,001,000240,386,255,9,7,392,250,8,5
42001000260,42,001,000260,321.09542664913835,732.6993063324932,11.169737343796786,8.039384790760003,367.76588392155816,697.6234537715252,7.65295426786221,2.3060852058658052
42001000270,42,001,000270,294.5784574741061,574.3558046351642,11.298417325254796,7.094768220969405,305.7409694946699,559.1935014673513,6.2035446779098935,11.162512020563872
42001000280,42,001,000280,187.4434916393428,282.5927534158563,5.215061956103836,5.117127755644769,196.85998342046742,274.18989376581476,4.152462724791255,5.092644205530002
42001000290,42,001,000290,214.52087125152215,683.10844009823,6.954213759747987,6.9508460286528475,224.45700187109134,669.2047274022672,5.959792442328236,8.936320932397212
42001000310,42,001,000310,366.0940523737361,807.926810375773,18.168771410084357,12.615748499732321,411.10303092575805,763.1320550864533,19.827842565613377,10.74196531544073
42001000320,42,001,000320,179.18460789089139,322.36483195323916,7.535801266439357,2.511933755479786,189.2323429128105,313.9917194349732,3.349245007306381,2.511933755479786
42001000330,42,001,000330,207,489,16,6,220,482,15,4
42001000340,42,001,000340,293,540,16,8,315,522,12,5
42001000350,42,001,000350,232,254,13,6,240,253,4,5
42001000360,42,001,000360,145,193,4,3,157,173,9,6
42001000370,42,001,000370,400.7313432835821,858.2636815920398,15.186567164179104,9.099502487562189,422.1542288557214,834.9029850746268,10.17412935323383,9.024875621890548
42001000380,42,001,000380,374.923816679773,451.7705162574978,11.143815293238006,3.037400254240891,401.0592170838704,429.63370391413156,8.112671409145623,2.053207519498558
42001000385,42,001,000385,304.8496138823459,582.4331156762773,12.700591351362096,7.817867755945814,327.3451702992536,568.7252810161305,9.779222199031972,3.906966019658706
42001000390,42,001,000390,370.3152873891883,623.47988406669,18.863244866278567,4.964011777662424,386.2001261090384,607.5950452542055,14.892035363865427,6.949616544308071
42001000400,42,001,000400,170.57157288685784,309.5706781934274,5.814318451376019,7.417954898563167,176.68031995946956,302.7281060250114,5.7913690599604,8.198240215273206
42001000410,42,001,000410,235,236,4,2,243,224,7,1
