GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREOWRI,G20HALRARM,G20HALDRAK,G20HALLPET,G20HALOWRI,G20GOVRBUR,G20GOVDLEN,G20GOVLHEN,G20GOVOWRI,G20AUDRGAL,G20AUDDHAR,G20AUDOWRI,G20TRERBEA,G20TREDHAU,G20TREOWRI,G20INSRGOD,G20INSOWRI,G20PSCRKRO,G20PSCDBUC,G20PSCOWRI
38003002410,38,003,002410,57,29,0,0,57,25,1,0,53,28,3,1,55,28,0,53,31,0,65,0,54,29,0
38003002411,38,003,002411,499.8944996870252,200.16829112201378,11.298297789085177,1.3287080482260278,516.9461529377819,169.87348751814656,11.296878314553497,0,510.4156591560393,146.27292111196581,15.88548024461229,28.455505292040048,473.376056140837,204.98234513344997,0.10301324686220208,444.3362222109902,229.5045787886622,8.242172619400987,595.7729144500328,10.932383634669401,462.53386323162863,198.31249661595524,0.05252969164827618
38003002412,38,003,002412,183,59,5,0,186,47,8,0,170,41,12,20,181,59,1,162,75,4,221,2,179,54,1
38003002413,38,003,002413,183,83,19,1,190,77,12,0,198,65,12,10,182,88,0,171,98,1,235,9,165,95,1
38003002414,38,003,002414,64,30,1,0,71,24,1,0,71,20,0,7,61,29,0,60,36,0,73,3,62,29,0
38003002415,38,003,002415,165,43,5,1,165,36,4,1,141,35,14,20,151,54,0,145,57,4,187,2,155,41,0
38005001401,38,005,001401,752.5361240085575,338.4381901561084,23.977401766612793,1.9951607328033183,762.5169952401417,310.48060205902414,27.962655664651862,0.9975803664016591,723.4897393288553,281.5051633252679,41.94398349697779,60.99936180996067,710.5870729440121,364.3854148176867,0.9975803664016591,688.5490886669594,379.42513382722507,3.995389033174204,917.2027628432096,13.981327832325931,673.6005858736372,345.4871310992984,0
38005002301,38,005,002301,163.72663139329805,69.31746031746032,3.0105820105820107,0.001763668430335097,162.74426807760142,64.27689594356261,7.017636684303351,0,151.668430335097,72.25749559082892,3.037037037037037,12.08994708994709,152.71781305114638,80.29805996472663,0,152.673721340388,80.34920634920636,0.003527336860670194,190.87654320987653,2.0264550264550265,147.70546737213402,84.30511463844798,0.001763668430335097
38005002302,38,005,002302,84.40466576940331,337.12830865859127,6.014356213548677,2.002243158366981,112.42216240466577,299.11170928667565,15.014804845222072,1,117.39748766262898,290.10587707492147,14.021085688649618,5.026020637056976,96.40062808434276,324.13728129205924,1,92.37819650067294,328.1525347689547,1.0053835800807536,282.4795872588605,37.00358905338717,97.39030955585464,323.14445939883353,2.0004486316733963
38005002303,38,005,002303,94.14236055250146,77.04513871176876,6.005050485232867,2.0007891383176353,101.14851583137902,64.03929908821824,5.005208312896395,0.9999999999999999,106.13983530988502,64.0372473285924,2.007417900185774,7.009154004484572,98.14094010352972,72.0482952650393,0.9999999999999999,97.13304872035336,75.05366140559921,2.0018939319623255,144.1687177723105,7.001262621308216,94.13731006726859,77.05082050765573,1.000157827663527
38007003901,38,007,003901,133.95099852927171,46.98281291698336,6.997440221678373,0,143.94734170309795,33.987566791009236,5.997805904295748,0.9996343173826246,135.95026716403694,27.98976088671349,9.996343173826247,11.995611808591496,134.95063284665432,46.98281291698336,0.9996343173826246,136.94990148141957,41.98464133007023,1.9992686347652493,165.9392966855157,0,142.94770738571532,37.98610406053974,0.9996343173826246
38007003902,38,007,003902,304,17,14,0,305,23,8,1,231,24,11,69,305,28,0,284,42,5,310,1,288,36,1
38007003903,38,007,003903,102.98242288229115,7.998696209973684,8.537879838364994e-6,0.9998167487820944,104.9820478419755,6.998862385431913,2.561363951509498e-5,0,74.98728070423768,4.9992459636274,6.998794082393205,20.996331019900587,102.98237165501212,7.998713285733361,0.9998167487820944,99.98283602986746,8.998598337554162,2.999450246346283,105.98184751499792,0.999833824541771,100.98269546804873,9.998372396937064,0
38009000601,38,009,000601,524.6773368003431,105.61516044503036,10.261552306885443,1.014527789876433,529.186480911522,93.10637014785894,11.232426095145062,0.014551333872271624,508.1873257256385,79.8449274052059,18.20300289045015,29.348101516239144,517.0268350297341,110.28034257986648,0,490.78054168473585,137.51205131393547,1.0290596576262674,581.1884948947175,7.072455598533428,507.76524944579165,117.51281418568881,0
38009000602,38,009,000602,522.3876479955471,177.73381696248097,17.733875193857084,0.9963048330784269,556.8549349709839,143.17088266546605,15.79116847808888,0.9921462538793727,556.8507763917848,125.42869031321086,13.840144603922568,23.68675271713332,545.9496433367088,155.07663771201854,0.004158579199054149,529.203755817532,170.87196476930646,1.971816770161583,624.9844987319353,4.952414110998755,528.2615125140413,170.80958608132065,0.004158579199054149
38009000603,38,009,000603,465.91469638602115,154.64694294051012,6.004200796442027,2.9891438330493014,473.93811272505496,123.71917392305456,11.976010179954773,1.9933024122483556,472.942271304254,115.72329028501063,15.95613672186563,17.964015269932162,454.0034690319249,147.63880287003482,0.9958414208009458,448.9967292269303,160.61065447079054,0.9990805620938737,532.8045069269168,7.9748292196398864,458.9535238642933,145.67303315877635,0.9958414208009458
38009000604,38,009,000604,610.713773500569,194.5901729291029,18.960068131553616,1.9957966454266962,618.6969600822758,178.6237997656893,23.949559745120354,0,638.6549265365428,147.6889517615755,19.957966454266963,19.957966454266963,607.720078532429,198.58176621995628,0.9978983227133481,591.7537053690155,210.55654609251647,3.9915932908533924,720.4825889990374,8.981084904420133,605.7242818870023,195.58807125181622,0.9978983227133481
38009000605,38,009,000605,451.286226499431,188.40982707089714,12.039931868446388,3.004203354573304,467.3030399177242,153.37620023431072,18.050440254879646,0,476.34507346345725,119.31104823842449,25.04203354573304,20.04203354573304,435.27992146757106,187.41823378004375,0.0021016772866519263,425.2462946309846,192.4434539074836,5.008406709146608,542.5174110009627,9.018915095579867,434.27571811299777,186.41192874818378,1.002101677286652
38011003901,38,011,003901,586.3140091178859,132.79708216768574,16.609456259751756,0.9759322394390278,599.0031958071809,108.39050587535971,16.60738868316417,0.0020675765875868626,537.4140183165551,100.57271007690954,26.379116537079966,58.65104288937067,572.6302819998637,136.7235544679053,0.9779998160266148,556.9905552497881,153.33301072765707,0.006202729762760588,658.5722787915381,5.855593436634167,553.1095696344955,143.5530125673909,1.9518644788780557
38011003902,38,011,003902,378.6859908821141,37.202917832314256,9.390543740248244,0.024067760560972127,379.9968041928191,32.6094941246403,8.392611316835831,0.9979324234124132,327.5859816834448,27.42728992309046,14.62088346292003,47.348957110629335,368.36971800013634,48.27644553209469,1.0220001839733852,356.0094447502118,57.66698927234293,2.9937972702372395,399.42772120846183,0.14440656336583277,366.89043036550447,47.446987432609085,0.048135521121944254
38011003903,38,011,003903,206,10,1,0,203,12,4,0,167,8,6,36,198,17,0,181,30,3,207,1,193,16,0
38011003904,38,011,003904,223.9962872461698,47.99920440989353,2.9999502756183456,2.9999502756183456,230.99617122261262,41.99930385865684,6.999883976442806,0,221.99632039575755,34.999419882214035,5.999900551236691,15.999734803297843,215.9964198445209,54.99908838633633,0,203.9966187420475,66.99888948880971,0,252.99580657714714,2.9999502756183456,211.99648614369642,54.99908838633633,0
38013000201,38,013,000201,49,6,2,0,47,6,2,0,46,4,3,4,48,7,0,49,7,0,55,0,48,8,0
38013000202,38,013,000202,249,44,6,3,250,44,4,0,242,40,8,9,247,45,0,240,49,0,259,5,243,45,1
