GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOMCM,G16PRECCAS,G16PREOOTH,G16USSRKEN,G16USSRBOU,G16USSRFLE,G16USSRMAN,G16USSRDUK,G16USSRCRA,G16USSRCAO,G16USSRMAR,G16USSRPAT,G16USSDCAM,G16USSDFAY,G16USSDEDW,G16USSDLAN,G16USSDPEL,G16USSDWIL,G16USSDMEN,G16USSLCLE,G16USSLGIL,G16USSOLAN,G16USSOTAY,G16USSNBIL,G16USSNHEB,G16USSNMAR,G16USSNWEL,R16USSRKEN,R16USSDCAM
220010002-3,22,001,0002-3,726.2057498057497,83.64226884226885,8.413364413364414,1.6742812742812743,0.16783216783216784,1.6323232323232324,1.1258741258741258,193.45034965034964,397.65439005439003,29.285780885780884,83.27195027195027,28.482672882672883,6.716239316239316,4.674281274281274,0.1258741258741259,0,34.344832944832945,21.034032634032634,2.5712509712509712,1.896969696969697,4.3485625485625485,0,0.04195804195804196,2.938927738927739,0.04195804195804196,0.04195804195804196,0,3.4744366744366744,3.967987567987568,0,1,337.6979020979021,44.374669774669776
220010002-5,22,001,0002-5,411,32,1,4,7,1,0,85,267,12,41,8,4,0,0,0,12,13,1,1,2,0,0,0,0,0,0,0,0,0,0,209,25
220010003-1,22,001,0003-1,372.47790960618966,103.98687461935732,8.156564058719232,2.071171906900776,0,2.8128485628720448,1.7157451145458507,95.97502243260276,216.66268988345263,17.21107847634186,36.690783785470245,15.95397731232788,4.302912315617507,0.8714220865258057,0.6561751782839998,0.1870967741935484,37.4727431925854,28.684596875454993,5.362482251879357,6.108196411440391,1.5098815843201308,0.1870967741935484,0.935483870967742,1.782479836200948,0.6374084222518283,0.00938337801608579,0,3.41272347305953,5.153945784440476,0.1870967741935484,0.1870967741935484,162.83106336193103,52.157729824250275
220010003-2,22,001,0003-2,711,34,3,3,3,1,1,194,322,33,89,39,4,2,0,0,23,16,2,4,1,0,1,3,1,0,0,1,4,0,1,326,34
220010003-3,22,001,0003-3,904.7618784052581,236.87655452737178,13.36763815618784,6.251612903225807,1,2.954795468304073,2.8322407679667907,203.28897344979677,550.5968433797458,26.386923808700164,97.83141053359854,38.10944391593877,10.909590936608147,2.2451094006745653,1.1225547003372827,0.8129032258064516,86.26409236357347,45.49014096687711,11.619277004237654,16.31610308743406,1.8129032258064517,1.8129032258064517,4.064516129032258,2.2064343163538873,1.9161203839833953,0.1032171581769437,0,6.458047219579694,13.045152642047912,0.8129032258064516,0.8129032258064516,403.02318602438817,97.05110265502033
220010003-4,22,001,0003-4,358.63644945738724,519.0970135776322,10.803657915907337,4.653868886371472,0.9922178988326849,2.7953586497890295,5.646086785204157,102.1538278415341,266.0770165328605,20.61509793298199,33.473747722011524,18.93788274310857,5.897937907370011,0.559071729957806,0.559071729957806,0,147.90121328539297,162.1548539624686,39.75927202876422,17.80455269336223,4.653868886371472,3.9688715953307394,3.9688715953307394,4.220722717496593,0.559071729957806,0.9922178988326849,0.9922178988326849,13.276609368073684,3.9135021097046416,3.9688715953307394,0,159.03803214631665,248.88596102382243
220010003-5,22,001,0003-5,531.4669260700389,120.29961089494162,7.0233463035019454,0.023346303501945526,1.0077821011673151,1,1.0311284046692606,136.14785992217898,238.76264591439687,18.038910505836576,80.03891050583657,31.038910505836576,7.01556420233463,3,3,0,58.87937743190661,35.035019455252915,11.27237354085603,6.108949416342412,0.023346303501945526,1.0311284046692606,0.0311284046692607,2.0155642023346303,0,1.0077821011673151,0.007782101167315175,1.0778210116731517,0,0.0311284046692607,0,216.22568093385215,67.54863813229572
220010003-7,22,001,0003-7,727.8245132288027,120.89348173423241,12.396268313158394,0.3494949494949495,0,4.786492268529802,1.7747989276139409,179.3252254447965,386.4604002491402,25.08738321553335,100.94494543288108,30.600189563192245,9.223489587564654,5.673891732336773,2.6621983914209113,0,57.811866655834486,25.97478267934032,9.384574972242532,3.71068323990576,0.698989898989899,0,0,2.8232837760987897,0.8873994638069704,0.8873994638069704,0,2.47378882660384,1.23689441330192,0,0,334.9365829880575,67.73434614238904
220010004-1,22,001,0004-1,505.65299684542583,52.62881177707676,3.082018927444795,4.013669821240799,0.04100946372239748,0,0.013669821240799159,89.73606729758149,265.7434279705573,24.46477392218717,49.72450052576235,23.451104100946374,7.205047318611988,2.0546792849631967,5,0,32.423764458464774,24.19137749737119,0.054679284963196635,11.054679284963196,0,0.013669821240799159,1,0,0.013669821240799159,0,0,0.013669821240799159,1.0683491062039958,0,0.013669821240799159,240.62250262881176,39.57413249211356
220010004-2,22,001,0004-2,610,100,4,3,1,0,0,106,278,32,104,29,16,2,1,0,64,27,6,4,0,0,0,0,4,1,0,2,8,1,0,284,66
220010004-4,22,001,0004-4,884.4436872085147,66.26014064177865,4.022838146759342,2.9288005343597274,1.0435644262797408,0,4.864509828559588,192.531244115615,465.81836760116477,25.117659342867665,127.25984195729806,26.16147579903815,17.812582343964106,3.972364960639468,3.8714185883997203,0,20.202676328188204,35.34787720163234,5.9333738553719515,8.81163819613912,0.9678546470999301,1.0057410404261786,0,0.9678546470999301,2.9288005343597274,0.9678546470999301,0,0.025236593059936908,7.869020142099125,0,0.025236593059936908,442.1399197273937,49.65506606777484
220010004-5,22,001,0004-5,539.813880126183,39.22818086225026,5.116719242902208,0.8527865404837014,2.558359621451104,0,0.8527865404837014,108.30389064143009,295.9169295478444,28.99474237644585,45.197686645636175,28.141955835962147,12.79179810725552,3.4111461619348056,0,0,26.436382754994742,11.93901156677182,3.4111461619348056,3.4111461619348056,0,0.8527865404837014,0,0,0.8527865404837014,0,0,0.8527865404837014,4.263932702418507,0,0.8527865404837014,225.98843322818087,35.81703470031546
220010004-6,22,001,0004-6,554.9495268138801,37.321766561514195,4.302839116719243,2.050473186119874,0.15141955835962145,1,1.0504731861198737,119.41009463722398,290.51419558359623,18.71608832807571,86.67507886435331,19.665615141955836,6.757097791798107,5.201892744479495,0,0,20.56466876971609,16.706624605678233,1.2018927444794953,0.20189274447949526,0,0.050473186119873815,0,0,0.050473186119873815,0,0,2.050473186119874,3.252365930599369,0,1.0504731861198737,293.3753943217666,39.1198738170347
220010005-1,22,001,0005-1,238.63636363636363,36.03896103896104,3.896103896103896,0.974025974025974,2.922077922077922,1.948051948051948,0.974025974025974,49.675324675324674,109.0909090909091,11.688311688311687,30.194805194805195,10.714285714285714,5.844155844155844,0.974025974025974,1.948051948051948,0,15.584415584415584,18.506493506493506,3.896103896103896,2.922077922077922,0,0,0,0,0,0.974025974025974,0,2.922077922077922,0,0,0,116.88311688311688,28.246753246753247
220010005-2,22,001,0005-2,279,49,4,1,0,1,2,40,183,11,24,16,4,4,0,0,20,12,4,1,0,1,0,1,1,0,0,1,0,0,0,125,23
220010005-3,22,001,0005-3,495.7050390605645,29.205201468831376,2.9278808198589523,3.867037728266195,6.773888053908534,0,1.9361476759101746,128.1064616468749,242.22020689161587,16.5913246458674,52.412685461982704,27.20596231027136,10.698759641270419,0.9864755203946246,0,0,18.50644182756096,15.520727148606317,3.882810598928656,0.02103049421661409,0,0.005257623554153523,0.9654450261780104,0.9654450261780104,0.005257623554153523,0,0,2.901592702088185,0.9917331439487781,0,0.005257623554153523,209.92939589630095,33.045951079326805
220010005-4,22,001,0005-4,357,39,1,5,0,2,0,79,215,3,29,16,5,2,0,0,12,17,1,0,0,0,0,2,0,0,2,0,1,1,0,174,34
220010005-5,22,001,0005-5,203.53107619842538,21.90074263897845,0.12858141160027953,0.09643605870020965,0.03214535290006988,0,0.1607267645003494,52.67380320299698,108.93873019063331,5.740384821170189,12.077697474878592,13.671331771939768,1.5659665519349462,0.12858141160027953,0.12858141160027953,0,5.57965805666984,13.005435101206777,2.167572516867796,0.2893081761006289,0.03214535290006988,1.0194955526337584,0,0.03214535290006988,0.09643605870020965,0.03214535290006988,0,0,0.25716282320055905,0,0,83.54777743348957,17.404870840742507
220010006-1,22,001,0006-1,135.39324680210686,329.75197516930024,5.18839352896915,0.6850075244544771,0.6433408577878104,0,1.3283483822422875,28.12199021820918,149.8900489089541,4.545052671181339,15.44018058690745,4.503386004514673,2.6150300978179084,0.8100075244544771,0,0.6850075244544771,103.76946952595937,68.39907825432657,13.348476297968398,15.67183972911964,2.6983634311512414,8.613431151241535,0.8100075244544771,3.901711813393529,1.9300225733634313,0.7683408577878104,0,4.485045146726862,2.6150300978179084,0.041666666666666664,0,59.43735891647856,104.95946200150489
220010006-2,22,001,0006-2,271,51,5,2,1,1,1,39,182,23,16,6,4,2,0,0,16,21,4,1,0,0,0,0,1,0,0,1,7,0,0,152,26
220010006-3,22,001,0006-3,220.72460496613996,236.15575620767495,9.713318284424378,4.089164785553048,0.08916478555304741,0,1.1783295711060948,51.83408577878104,164.32957110609482,16.624153498871333,15.139954853273137,3.624153498871332,10.35665914221219,1.0891647855530473,0,0.08916478555304741,75.463882618510155,54.82731376975169,10.694130925507901,13.05079006772009,4.356659142212189,3.159142212189616,0.08916478555304741,1.5349887133182845,0.26749435665914223,0.08916478555304741,1,7.534988713318285,4.356659142212189,0,0,122.20316027088036,124.3747178329571
220010006-4,22,001,0006-4,348,212,6,4,3,1,4,67,268,21,24,11,7,1,0,0,80,25,14,3,4,2,1,2,3,1,0,3,3,1,1,173,67
220010006-5,22,001,0006-5,237.5256667502717,147.65245380821003,3.2325474458657304,0.2860128751776607,0.26749435665914223,0,1.6460998244293954,51.742998077083854,170.09982442939554,19.094682718836218,23.84579048574534,4.076164200317699,5.107014463673606,0.30453139369617926,0,0.26749435665914223,44.762018225900846,27.98194130925508,5.193503887634813,6.226444277234346,1.0884959451550873,3.4959451550873673,3.267494356659142,1.6234846584733718,0.8024830699774266,0.26749435665914223,0,2.660521695510409,2.0884959451550875,0.018518518518518517,0,150.16503636819664,58.735264609982444
220010006-6,22,001,0006-6,7.708333333333334,643.625,0.9583333333333334,1.9583333333333333,0,0,0.9583333333333334,15.541666666666668,109.79166666666667,0.9583333333333334,0,1,0.9583333333333334,3.8333333333333335,0,0.9583333333333334,245.375,153.29166666666666,41.875,27.125,3.875,6.75,4.833333333333333,2.9583333333333335,0,2.875,0,21.375,0.9583333333333334,0.9583333333333334,0,6.75,291.5416666666667
220010006-7,22,001,0006-7,536.2603369065849,101.33078101071976,21.120980091883613,3.120980091883614,1.1209800918836141,2,5,124.35528330781011,358.6385911179173,25.330781010719754,28.725880551301685,18.362940275650843,1.4839203675344563,4,0,0,36.60490045941807,32.241960183767226,1.1209800918836141,7.120980091883614,0.48392036753445633,0,1,1.1209800918836141,1,0,1,2,5.120980091883614,0,0,228.79938744257274,41.08882082695253
220010006-8,22,001,0006-8,318.4164397301417,74.74249988793258,2.5531871974179667,0,0.10795454545454546,0,0.026988636363636364,49.17811715528062,220.38406905594408,10.667977855477856,27.811595055585443,4.111372601757218,4.219327147211763,0,1.5581854043392505,0,20.85016025641026,16.738787654653038,10.155193764568764,2.364266742872512,0.7790927021696252,0,0.7790927021696252,1.5581854043392505,0,0.08096590909090909,0,4.755522122108661,5.5885920970055585,0.8060813385332616,0,121.08486585529856,38.422017885960194
220010007-2,22,001,0007-2,483.9616022197418,65.00625790143351,3.0070806722140415,0.043240629482053844,0.9999579668778997,1.007164738458242,1.028785053199269,105.38475218751796,249.0057305785474,15.143504934775343,77.27782754123163,14.129133424736759,5.028616920710868,0.014413543160684616,0,0,19.41719412233995,31.24372720694653,2.1008107358805916,4.079106354895364,0.9999579668778997,0.9999579668778997,0.007206771580342308,0.021620314741026922,0,0,0.9999579668778997,2.014329476916484,2.999873900633699,0.007206771580342308,0,206.44536778640892,43.43059887057023
220010007-3,22,001,0007-3,901.9500289800586,45.99745158878348,8.999501397805462,0,3.9997783990246503,0.9999445997561626,0,235.98692554245434,375.9791695083171,87.9951247785423,119.9933519707395,32.99817179195336,6.999612198293137,6.999612198293137,4.999722998780813,0,27.99844879317255,13.999224396586275,1.9998891995123251,2.9998337992684876,0.9999445997561626,1.9998891995123251,0,1.9998891995123251,2.9998337992684876,0,0.9999445997561626,2.9998337992684876,3.9997783990246503,0,0,383.9787263063664,24.998614993904063
220010007-4,22,001,0007-4,700.7812624506173,37.98307989400048,5.0767371416923135,1.153474283384626,9,2.076737141692313,1,160.06223419369272,314.8918398043086,61.37643423446177,109.83927424261557,33.381268550461634,8.306948566769252,2,0,0,25.3788513924617,9.30211425076939,1.3836857084615652,4.076737141692313,0,0,0,1.153474283384626,0,0.07673714169231302,0,1.153474283384626,1.076737141692313,0,1,333.3643484444621,31.76011994292334
22001006-10,22,001,006-10,221.48167539267016,25.67539267015707,3.067539267015707,0.09005235602094241,0.1575916230366492,0,0.04502617801047121,49.9717277486911,142.60575916230366,5.382722513089005,8.215706806282723,11.630366492146596,2.2476439790575915,2.0225130890052356,0,0,7.4277486910994766,10.36020942408377,0.09005235602094241,0,0,0,0.022513089005235604,0.022513089005235604,0,1,0,1.067539267015707,0.022513089005235604,0,1,96.86282722513089,25.76544502617801
22001006-12,22,001,006-12,389.64814814814815,62.81481481481482,4.907407407407407,0.9814814814814815,0,0,5.888888888888889,65.75925925925925,270.8888888888889,11.777777777777779,22.574074074074073,10.796296296296296,1.962962962962963,1.962962962962963,0,0,19.62962962962963,26.5,5.888888888888889,3.925925925925926,0.9814814814814815,0.9814814814814815,0,0.9814814814814815,0,0,0,2.9444444444444446,0.9814814814814815,0.9814814814814815,0,188.44444444444446,32.388888888888886
22001006-13,22,001,006-13,232.30769230769232,16.615384615384613,4.384615384615384,1,0,1,0.07692307692307693,41.30769230769231,135.6153846153846,17,30.23076923076923,5.384615384615384,1.3846153846153846,0.15384615384615385,2,0.07692307692307693,10.769230769230768,5,0.15384615384615385,1.2307692307692308,0,0,4,0,0.07692307692307693,0,0,2.1538461538461537,1.0769230769230769,0,0,102.53846153846153,15
22001006-14,22,001,006-14,583.5835602698584,47.25750011206742,8.446812802582032,0,3.8920454545454546,0,0.9730113636363636,128.8218828447194,337.61593094405595,22.332022144522146,55.18840494441456,8.888627398242782,12.780672852788237,0,0.4418145956607495,0,27.149839743589745,18.261212345346962,3.8448062354312356,1.6357332571274878,0.22090729783037474,0,0.22090729783037474,0.4418145956607495,0,2.919034090909091,0,4.244477877891339,6.4114079029944415,1.1939186614667383,0,268.9151341447014,47.577982114039806
22001006-15,22,001,006-15,166.2789301091218,9.936234696086528,0.9057214787970141,0.9146220023572236,0.9413235730378519,0,0.01780104712041885,32.81958580213754,108.57763924857484,9.820527889803806,5.7547477209496245,2.8862743840350213,3.613985391627847,0.008900523560209424,0,0,4.5642094882259086,1.9004481931961226,0.9146220023572236,0.8790199081163859,3.5160796324655434,0,0.008900523560209424,0.8879204316765953,0,0,0,0.026701570680628273,0.8879204316765953,0,0,73.1231256464325,8.213796974094594
22001006-16,22,001,006-16,259.6263661559379,46.43967996653245,5.0518224128013385,0.3636981645139361,0.21821889870836164,0,0.9230769230769231,75.83982638707316,124.04267112900696,14.618626784500341,29.02415938921717,5.706479108926423,4.76086388119019,1.9188934790566334,0,0.9230769230769231,22.685561888824974,13.527532290958533,1.9916331119594206,2.8419704021335566,0.14547926580557444,0,0,0.07273963290278722,1.0685561888824975,0,0,2.137112377764995,0.9958165559797103,0.21821889870836164,0,146.02849971238822,26.109449354180832
220030001-1,22,003,0001-1,108.65365853658537,67.54146341463415,4.894308943089431,3.915447154471545,1.9577235772357724,0,0,19.577235772357724,56.7739837398374,12.72520325203252,5.873170731707317,11.746341463414634,2.9365853658536585,0,0,0,30.34471544715447,11.746341463414634,9.788617886178862,6.852032520325203,0,1.9577235772357724,0,0.9788617886178862,1.9577235772357724,0,0,0,1.9577235772357724,0,0,54.81626016260162,29.365853658536587
220030001-2,22,003,0001-2,114,30,2,0,0,2,0,23,58,11,2,6,1,1,0,0,19,11,5,3,1,1,0,0,0,0,0,3,0,0,0,55,24
220030001-3,22,003,0001-3,115.34634146341463,62.458536585365856,2.105691056910569,0.08455284552845528,0.04227642276422764,0,0,26.422764227642276,44.2260162601626,19.27479674796748,4.126829268292683,9.253658536585366,2.0634146341463415,0,0,0,36.65528455284553,9.253658536585366,1.2113821138211383,4.147967479674796,0,1.0422764227642276,0,3.0211382113821137,1.0422764227642276,0,0,2,1.0422764227642276,0,0,49.18373983739838,22.634146341463413
220030001-4,22,003,0001-4,12,207,5,1,0,0,2,4,20,0,1,1,1,2,0,2,85,50,4,16,4,5,1,0,1,0,0,2,1,3,0,8,104
220030001-5,22,003,0001-5,42,43.00000000000001,1,0,0,0,0,14,29,2,4,1,1,0,0,0,12,9,7,4.999999999999999,1,1,0,0,0,0,0,1,3,0,0,22,22
220030001-6,22,003,0001-6,209,64,5,3,4,2,5,45,88,23,7,20,7,1,0,0,36,11,6,10,0,0,0,0,1,0,0,9,4,2,1,81,15
220030002-1,22,003,0002-1,203,84,4,5,3,0,5,41,109,32,9,5,5,1,2,0,34,31,6,8,0,0,3,1,0,0,0,0,1,0,0,60,27
220030002-2,22,003,0002-2,419,34,4,3,4,5,3,48,195,132,25,17,4,1,1,0,18,13,0,4,3,0,0,5,0,0,0,1,0,0,0,135,38
220030002-3,22,003,0002-3,233.00662301497704,15.827681192142697,3.6336118010085046,0.08992248062015504,0.04496124031007752,1.507398208775495,1.5523594490855723,36.66148867313916,108.5113870700685,47.48304357642809,21.407661624143902,11.755098968916988,1.7322044103258825,4.252427184466019,0.04496124031007752,0,7.626913524497629,3.1946413787913,0.7536991043877475,3.01479641755099,0,0.04496124031007752,0.7087378640776699,0.13488372093023254,0.7087378640776699,0,0,0.7536991043877475,0,0,0,106.07044479566494,4.80260404907052
220030002-5,22,003,0002-5,7.5067456493396065,99.38333994671504,0.01326455416359617,0.9681707386202597,0,0.004421518054532056,0,2.0490901876310867,8.961141658636132,1.2445156170285132,0.03316138540899042,0.017686072218128224,1.9407629952950514,0.9659599795929936,0.002210759027266028,0,50.15475313190863,17.37401507851029,7.7077830054985546,6.7639306161782216,0.006632277081798085,0.9637492205657276,0.9615384615384616,0.9637492205657276,0,0.004421518054532056,0,0.006632277081798085,0.9615384615384616,0.002210759027266028,0,1.2577801711921093,41.45669179751715
220030002-6,22,003,0002-6,249.6504114626148,35.87554824852165,3.871733269691425,3.871733269691425,0.9803364181980501,0.04961240310077519,2.9410092545941504,32.59916381603953,104.06449753829563,82.78285911272573,17.670861729115288,7.308866555293327,1.1291736275003756,0.9555302166476625,0.024806201550387597,1.911060433295325,25.141460051443875,4.020570478993751,3.8469270681410377,2.965815456144538,0,0.9803364181980501,0,0.07441860465116279,0.9555302166476625,0,0.9555302166476625,0.024806201550387597,0.9555302166476625,0,0.9555302166476625,87.64684044443266,21.71623840965943
220030003-1,22,003,0003-1,327.05932797302836,24.692277634436515,3.244666990282761,1.7802041367580672,0.8592192415484352,2.1848492751933772,3.111268953011705,50.322487256731776,137.4220734153622,72.66518375354008,24.577841226076373,24.73645697720376,6.262305479960986,1.7974773814950138,0.8011625016743585,0.08893956670467502,13.745285746476378,7.776684212232669,1.2893255101364736,4.513977465661158,0,0.8429148937223483,0.2939795272266779,2.400770113718728,0.3384493105790154,0,0.04446978335233751,1.10329420281408,0.047187174656685336,0,0.04446978335233751,129.95046752671107,24.932413351549464
220030003-2,22,003,0003-2,630.2823769801146,62.604398382204245,5.249978934951129,2.2581311088641725,6.115478597910347,2.2581311088641725,0.3953488372093023,97.41666666666666,293.00153774856756,94.06862992922143,61.343549882035724,38.19946494775868,17.876284967981125,1.9945652173913044,1.1290655544320862,0,36.48628665318503,18.00806791371756,8.110043815301651,8.505392652510954,0,0.13178294573643412,0.9972826086956522,2.389914054600607,0.9972826086956522,0,0,5.118195989214695,0.9972826086956522,0,0,199.33177451971687,55.54861813279407
220030004-2,22,003,0004-2,294.5301230185467,7.327075226996947,1.0835348483790554,0.08588957055214724,3.7329123996511915,1.737621843997375,1.8235114145495221,56.8294673479677,126.47637459953535,61.7945793847806,14.105783461882153,15.618766163021943,7.422880014026309,1.7805666292734486,0.12883435582822086,0.8688109219986875,5.288839886067057,2.0382353409298903,1.2123692042072765,2.649377551272136,0,0.8688109219986875,0,0.9117557072747611,0.08588957055214724,0,0.04294478527607362,1.8235114145495221,0.9117557072747611,0.8688109219986875,0,118.10870930943541,12.110492906228336
220030004-3,22,003,0004-3,361.8565307068358,31.365765706811775,5.66043723994096,2.0782099232460083,6.071505892198362,0,2.023437824108957,70.80122362822888,142.56401392177506,48.10476954585488,27.046221982780096,39.97797562607566,11.185089355220803,1.066707814804528,3.035698745195931,0,23.243171840632954,7.3014459863490515,7.82140842604156,1.2861214167722304,0,0,2.16803612998339e-4,1.0119357156674769,2.023437824108957,0,0.9570552147239264,1.968882528584904,1.1761436112721313,0.21865478932220825,1.084018064991695e-4,108.35343189898501,19.49825425362433
220030005-2,22,003,0005-2,530.234582101744,24.316658635042373,11.062900614303699,1.0311330901485947,4.00934833576139,3.0006344340065088,0.013070852632322615,113.8733700041846,163.48336172540036,113.75901581314999,37.26475739701523,34.27769833864976,22.181975330343857,4.029313875297189,9.000634434006509,0.008713901754881744,17.288231455256053,7.075421120097632,2.0735178180781055,5.068526433194156,0,1.0137052866388312,0,4.018696671522781,1.0012688680130173,0,0.008713901754881744,8.03367082617463,1.018062237516272,1.0049913848839496,0,145.33046767381373,14.130876700659465
220030005-3,22,003,0005-3,292.9759300924935,28.99761765420584,0,1.999835700290058,0.999917850145029,0,1.999835700290058,61.9949067089918,106.99120996551811,50.99581035739648,6.999424951015203,16.998603452465492,8.99926065130526,4.999589250725145,0,0,22.998110553335668,10.99909635159532,7.999342801160232,2.999753550435087,2.999753550435087,0,0,0,0.999917850145029,0,0,3.999671400580116,0.999917850145029,0,0,83.99309941218243,13.998849902030406
220030005-5,22,003,0005-5,232.151377617093,11.81315206795169,0.21745036201391138,2.0058105391311725,0.06544478909491623,0.0025792913836461817,0.06286549771127005,46.72377455967986,59.65784812036492,60.24445155289005,3.6013117726607384,21.88347342574589,3.9637144220572194,0.16022593354615175,0.0025792913836461817,0,11.858447480902328,4.615616619126025,2.1439555049957253,7.15904735739304,0.06286549771127005,0.06544478909491623,0.9910576265091818,2.1763528153956844,0.06802408047856241,0,0,2.141858700088297,7.024446655864569,1.056502415604098,0,80.64216659009455,14.14586763381888
