GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVRHOG,G18GOVDJEA,G18GOVLQUI,G18GOVGSCH,G18GOVOWRI,G18COMRPHU,G18COMDFRA,G18COMOWRI,G18ATGRWOL,G18ATGDFRO,G18ATGOWRI,G18USSRCAM,G18USSDCAR,G18USSLVOH,G18USSISIM,G18USSOWRI
2400113-000,24,001,13-000,700.7123646549492,92.42082783979208,4.007959160315688,4.039203017217279,0,427.04464379214045,332.9799253267567,0,596.2850003755455,190.85968627139843,0,527.7279025820072,230.11303477954783,7.080321726468334,37.19469217841378,0
2400114-000,24,001,14-000,108.86366479049406,69.91244527829893,3.9949968730456535,0,0,45.942464040025015,124.84365228267667,0,72.90869293308317,97.87742338961851,0,54.93120700437774,106.86616635397124,2.99624765478424,5.99249530956848,2.99624765478424
2400116-000,24,001,16-000,680.5929018789144,93.12108559498957,5.400835073068893,3.4008350730688934,0,434.94363256784965,305.4676409185804,0,584.9686847599164,185.34446764091857,0,529.5594989561587,219.55323590814194,4.400835073068893,15.90187891440501,0
2400118-000,24,001,18-000,751.1305051160467,75.66465009200628,3.1960217758015066,1.652559935629863,0.15099925980754997,451.65287180773294,330.1716088728459,0.050333086602516654,666.9350429622053,132.46334152415523,0.050333086602516654,558.1279936943164,216.41531172032055,1.4008945026172799,30.651557506349633,0.050333086602516654
2400120-000,24,001,20-000,696.4255639097744,65.9624060150376,5.02406015037594,3.0180451127819548,0,455.93533834586464,284.18195488721807,0.012030075187969926,608.3067669172932,154.97894736842105,0,549.987969924812,187.28571428571428,7.042105263157895,21.102255639097745,0
2400121-000,24,001,21-000,405,50,2,1,0,251,187,1,356,104,0,326,122,10,6,0
2400122-001,24,001,22-001,466.8038507821901,138.56654632972322,8.75956678700361,10.706137184115523,0.9732851985559566,259.3073405535499,335.6635379061372,0,367.5687123947052,246.29458483754513,0,312.7980746089049,267.2669073405536,6.812996389891697,25.305415162454874,2.9198555956678702
2400122-002,24,001,22-002,48.19614921780987,12.433453670276775,0.24043321299638992,0.29386281588447655,0.026714801444043323,28.69265944645006,27.336462093862814,0,39.43128760529483,19.705415162454873,0,36.20192539109507,23.73309265944645,0.18700361010830327,0.6945848375451265,0.08014440433212996
2400123-000,24,001,23-000,725.136335209506,197.08755472170105,12.005003126954348,6,0,401.057535959975,512.1563477173233,0,593.0913070669168,320.1225766103815,2,505.0687929956223,386.1338336460288,11.00375234521576,32.00750469043152,0.00375234521575985
2400124-000,24,001,24-000,586.6121935889378,72.84726587052168,3.834066624764299,5.751099937146448,0,350.8170961659334,281.803896920176,0,495.55311125078566,161.98931489629163,0,458.1709616593337,181.15964802011314,3.834066624764299,23.96291640477687,0
2400126-000,24,001,26-000,648.267392559516,358.5947518164349,11.9864540997137,5.99322704985685,0,351.6026535916019,619.3001284852079,0,503.4310721879755,496.4389739631424,0,432.51121876466937,516.4163974626653,10.98758292473756,44.949202873926374,0
2400129-001,24,001,29-001,896.538945441673,159.0312985262391,3.9757824631559777,2.9818368473669836,0,485.0454605050293,525.797230752378,1.9878912315779889,711.6650609049201,327.0081075945792,0,658.9859432681034,377.6993339998179,6.957619310522961,16.897075468412908,0
2400129-002,24,001,29-002,841.6037735849056,175.30588907947399,2.008576329331046,0.008576329331046312,1,438.81189251000575,540.0377358490566,2,664.2750142938822,337.64608347627217,0,555.0891938250429,416.7975986277873,9.011435105774728,46.04859919954259,0
2400129-003,24,001,29-003,606.7899285998891,115.92749001542691,3.4641360798581022,3.0611175520289002,8.908682547339378e-4,310.7797650051101,390.048699624126,0.06702127659574468,484.39362987479797,242.2346419390908,0,414.63344505686393,299.6753174580209,4.3960377633281436,17.908406906147242,8.908682547339378e-4
2400131-000,24,001,31-000,502.6857142857143,80.09500860585197,2.004130808950086,4.002065404475043,4,335.4426850258175,238.30636833046472,1,445.58313253012045,131.18726333907057,0,410.52667814113596,151.2340791738382,3.004130808950086,21.01721170395869,1
2400134-000,24,001,34-000,691,86,5,6,1,391,368,2,537,237,3,483,274,4,27,2
2400301-001,24,003,01-001,993.3555821610296,235.99221789883268,7.030529781502544,9.061059563005088,0,500.11164322059267,713.2107153546842,4.010176593834181,722.0987728225083,500.2286740496857,2,651.7069739598923,506.2541155342712,11.07123615683927,71.36126908111343,3
2400301-002,24,003,01-002,1016.9325847259731,311.13172481716066,12.785396826192121,9.49835278086287,2.061154279842611,530.5483558586396,778.650819382732,2.0480867720407576,724.2249600313085,599.3393536090548,1.9269729093050647,649.2706810722879,590.5761901466349,12.030028997181002,92.2222861144108,1.9269729093050647
2400301-003,24,003,01-003,805,204,9,5,0,433,556,4,577,424,0,506,430,7,69,2
2400301-004,24,003,01-004,582,443,3,2,0,276,749,0,365,665,0,316,662,7,55,0
2400301-005,24,003,01-005,584.7508947745168,414.80243378668575,7.051539012168933,7.051539012168933,2.0114531138153184,284.75232641374373,701.7551896921976,2.0229062276306373,347.084466714388,665.5490336435219,2.0114531138153184,294.7179670722978,686.5833929849679,5.091624910522548,44.32641374373658,0
2400301-006,24,003,01-006,619.4174022386493,723.247558117072,12.738440357316279,2.309205075016596,1.865818629462454,303.33530881639746,1021.9062092111556,0.11807112321847199,376.8703589257587,987.8370546815981,0.04757281553398058,317.84601576335376,982.0766166968909,9.273432273651792,49.279796888331866,0.09514563106796116
2400301-007,24,003,01-007,802.8514915420441,183.198344607753,5.635058912795713,11.223522057583532,0,389.18310350835117,592.0397425139371,1.8737847583821108,571.203354114284,411.0112028377928,0.00274092752987611,498.94478103278806,415.6819600960987,13.17679371433205,66.60980953105084,0.00548185505975222
2400301-008,24,003,01-008,1068,225,6,12,0,595,673,2,799,486,0,714,478,14,88,0
2400301-009,24,003,01-009,934.5329592818761,234.05811603379334,6.531081510724153,7.392921834021263,0.10475100171722954,497.6969714146031,654.1932515955881,4.038934424768044,700.2246256772704,451.2667468299268,0.06983400114481969,615.8154152934547,464.68591843903596,18.575742478963228,70.81776207676461,0
2400301-010,24,003,01-010,833.5869500149656,213.8171206225681,5.025142173002095,3.0502843460041906,2,382.7390002993116,663.644118527387,2.0083807243340317,570.5519305597127,477.83537862915296,2,477.22927267285246,484.856330439988,14.058665070338222,83.29751571385813,2
2400301-011,24,003,01-011,801.0530035335689,165.49352179034156,5.438162544169611,3.3286219081272086,0.07302709069493521,394.4028268551237,554.4864546525324,2.0730270906949353,534.1213191990577,412.20612485276797,3.0730270906949353,510.60188457008246,372.87750294464075,14.401648998822143,60.21319199057715,3.0730270906949353
2400301-012,24,003,01-012,453.2895752895753,802.6525096525097,10.100386100386102,3.038610038610039,2.023166023166023,202.12741312741315,1030.7992277992278,9.038610038610038,243.95366795366797,1022.0733590733591,3.0154440154440154,214.4903474903475,984.0888030888032,11.092664092664092,55.41698841698842,0.015444015444015444
2400301-013,24,003,01-013,315,197,7,5,0,140,376,0,202,319,0,153,321,9,39,0
2400301-014,24,003,01-014,677.065637065637,211.52123552123552,12.849420849420849,4.942084942084942,2.965250965250965,400.3088803088803,486.3011583011583,4.942084942084942,506.0694980694981,393.3899613899614,1.9768339768339769,446.7644787644788,395.3667953667954,11.86100386100386,53.374517374517374,1.9768339768339769
2400301-015,24,003,01-015,823.4770550433008,245.75488525961322,6.93662982587618,6.93662982587618,0,373.5870634793314,699.6086652955119,0,548.9847033622004,517.2743955867666,1.9818942359646228,457.81756850782784,545.0209148902712,6.93662982587618,81.25766367454953,0
2400301-016,24,003,01-016,641.5229449566992,348.2451147403868,7.06337017412382,7.06337017412382,3,328.4129365206686,657.3913347044881,2,429.0152966377995,561.7256044132334,0.01810576403537726,387.18243149217216,544.9790851097288,12.06337017412382,49.74233632545047,2
2400301-017,24,003,01-017,409.8098778544875,196.59798194370686,1.8459904407859797,0,0,186.44503451938397,419.0398300584174,1.8459904407859797,257.51566648964416,342.43122676579924,0,221.51885289431758,341.50823154540626,6.4609665427509295,39.688794476898565,0
2400301-018,24,003,01-018,726.4799572486429,610.4607145743607,16.57931419001471,5.638774045853692,0.10007858680425051,371.11504868749904,969.8244576688736,2.1127986273950783,458.62046241361475,888.2217933347962,3.0451194509580315,421.5163719053573,880.970878961229,17.244168033181815,40.492002557404184,0.09621758294324666
2400301-019,24,003,01-019,651.2491052254832,660.1975662133142,8.948460987831067,8.948460987831067,1.9885468861846813,304.24767358625627,999.2448103078025,3.9770937723693627,361.915533285612,963.4509663564781,1.9885468861846813,298.28203292770223,969.4166070150322,15.90837508947745,56.67358625626343,0
2400301-020,24,003,01-020,631,559,13,7,2,348,824,2,412,791,0,360,782,21,39,0
2400301-021,24,003,01-021,363,868,9,3,0,175,1030,0,209,1029,1,163,1021,9,44,3
2400301-022,24,003,01-022,1171.7559262510974,1296.6786654960492,26.14661984196664,11.62071992976295,1.9367866549604917,660.4442493415277,1769.2546093064093,0,695.3064091308165,1799.2748024582968,0,581.0359964881475,1802.1799824407376,31.956979806848114,91.99736611062336,0.9683933274802459
2400301-023,24,003,01-023,246.81663258350375,408.441717791411,3.98091342876619,2.3885480572597135,0,147.29379686434902,481.69052488070895,1.5923653715064758,145.70143149284254,507.96455351056574,0,124.20449897750511,503.18745739604634,7.1656441717791415,27.866394001363325,0
2400301-024,24,003,01-024,436,385,6,3,0,207,597,2,250,579,0,216,569,8,44,1
2400301-025,24,003,01-025,670.2440737489026,279.3213345039508,6.853380158033363,2.37928007023705,2.0632133450395083,359.55575065847233,576.7453906935908,0,460.6935908691835,496.7251975417032,0,397.9640035118525,517.8200175592625,12.043020193151888,41.002633889376646,2.031606672519754
2400301-026,24,003,01-026,485,1320,22,5,0,192,1583,0,215,1610,1,178,1576,21,43,3
2400301-099,24,003,01-099,3.8036809815950923,6.294478527607363,0.06134969325153375,0.036809815950920255,0,2.2699386503067487,7.4233128834355835,0.0245398773006135,2.2453987730061353,7.8282208588957065,0,1.914110429447853,7.754601226993865,0.11042944785276074,0.42944785276073627,0
2400302-001,24,003,02-001,662.2769414883601,262.9911332866821,6.718751580316696,2.87946496299287,0,340.7366872874896,564.3751327466024,0,446.3170692638948,481.8304704741402,0,373.3706235347421,475.11171889382354,7.6785732346476525,78.70537565513844,0
2400302-002,24,003,02-002,664.3003914628418,320.96451240370646,5.36910996132789,5.204296914328994,0,299.44947334619695,690.8971020387955,2.150350812526116,410.25879743285486,579.1540745841595,0.2890236740733842,363.8384517894626,596.0411400119776,2.1341277554317104,45.81232088017174,0.1053639846743295
2400302-003,24,003,02-003,731.8462434478741,270.2201514269074,4.691322073383809,1.8765288293535236,0,379.9970879440885,613.6249271986022,0,500.09493302271403,502.9097262667443,0,432.53989516598716,496.34187536400697,8.444379732090857,72.24635993011066,0
2400302-004,24,003,02-004,792.0620052354612,443.0973927384941,4.7542972174659495,2.8525684744668878,1.901695889623455,394.604812833952,813.9306702050529,1.901695889623455,512.5108614584353,717.8943214314929,2.8525438344351826,450.7051208315366,730.255287220638,16.164480768550582,46.592222789974585,1.901695889623455
2400302-005,24,003,02-005,659.8589211618257,496.38035961272476,8.91701244813278,2.972337482710927,0,353.7081604426003,788.6602120792992,0,447.8321807284463,713.3609958506224,0,385.4130935915168,693.5454126325495,15.852466574458276,65.39142461964039,0
2400302-006,24,003,02-006,594.7162162162163,240.4695945945946,2.2195945945945947,9,2,312.4780405405405,513.3344594594595,0,416.125,419.7094594594595,0,374.2685810810811,426.31418918918916,12.35135135135135,36.85641891891892,0.04391891891891892
2400302-007,24,003,02-007,936.1305094447624,490.26216370921577,9.6508299942759,9.6508299942759,2.8952489982827703,436.21751574127074,986.3148254149971,1.9301659988551803,586.7704636519749,857.9587864911276,1.9301659988551803,516.3194046937607,851.2032054951345,12.546078992558671,73.34630795649686,0
2400302-008,24,003,02-008,513.2241938561343,164.4815874833047,3.6435794695668764,0,0,273.2684602175157,394.0270940660179,2.6025567639763403,362.79641289830187,306.06067544361764,1.0410227055905361,323.23755008586147,305.0196527380271,6.246136233543217,41.640908223621445,0
2400302-009,24,003,02-009,759.0974185239569,608.6847062908276,9.554438202557554,7.270927336211294,0.09830411037654499,363.4010149590446,992.4492320425591,0.09830411037654499,468.3980247237649,909.2000754004014,0.1474561655648175,408.758178993254,902.4069030205864,18.391205206109777,54.162090774114695,2.098304110376545
2400302-010,24,003,02-010,891.3979364286693,244.31667939498803,6.965196231499415,3.0761018947013965,0.017947170941169825,482.00915880635887,646.695392858446,3.9339622641509435,639.981457020123,481.01669465485054,0,541.9159513156815,493.7572040859882,11.015815106767963,90.06297739408082,1.9849283030166416
2400302-011,24,003,02-011,529.1410788381743,188.61964038727524,5.0829875518672205,2.027662517289073,3,270.2918395573997,432.3397879207008,4,377.1678192715537,337.6390041493776,3,313.5869064084832,353.4545873674505,13.147533425541724,39.60857538035961,2
2400302-012,24,003,02-012,340.54898648648646,110.25971283783784,6.978462837837838,0,0,205.86465371621622,233.08065878378378,0,258.203125,181.44003378378378,0,230.98711993243242,168.87880067567568,11.16554054054054,27.21600506756757,1.3956925675675675
2400302-013,24,003,02-013,442.72643678160915,204.78544061302682,3.4741379310344827,1.436590038314176,0,219.50881226053642,420.0180076628352,0.13409961685823754,294.3231800766283,348.07931034482755,0.06704980842911877,254.87471264367815,336.3593869731801,9.419157088122606,41.88333333333333,0.06704980842911877
2400302-014,24,003,02-014,557.5886425740213,817.3299449970874,6.149189559001305,6.914528373051591,0,241.2075107314515,1097.948417067249,2.096916418900422,296.1623704756129,1089.2039663837484,3.9107134424009202,259.0416540517556,1064.8696200238421,8.387665675601689,47.53163290586039,0.09437313179997486
2400302-015,24,003,02-015,584.8226632522408,525.0574344709847,7.556856814870414,4.190784729274287,0.04481434058898848,285.040583101535,799.6275847351612,3.2988505747126435,362.6575529456783,746.7115325179919,1.6494252873563218,296.8106318159742,754.7121800815341,13.486695512679,47.68083579849,1.6494252873563218
2400302-016,24,003,02-016,951.7630223239839,296.37435603892385,9.065254722381225,5,0,489.8941041785919,741.485403548941,4.189467658843732,676.2117916428163,566.481396680023,0.8757870635374928,602.9318832283915,571.6056096164854,17.25472238122496,65.03148254149971,2
2400302-017,24,003,02-017,476.0021535480347,602.671569000525,5.91501581616763,2.960255621302404,1.9551856594110115,204.23016073767997,853.7492495939488,0.02198170574870928,244.8225414142632,847.5319853237364,0.01099085287435464,214.08302500485553,836.8334184613476,12.796633609166411,29.64102419808428,0.01099085287435464
2400302-018,24,003,02-018,653.3333333333334,458.5670498084291,9.327586206896552,3.181992337164751,0,304.37547892720306,791.4329501915709,4.145593869731801,401.7605363984675,706.1034482758621,0.07279693486590039,344.88505747126436,701.4674329501916,17.582375478927204,52.07471264367816,2.0727969348659006
2400302-019,24,003,02-019,622.5193664919275,528.2044870436639,12.41937767471304,9.678668215253582,0,316.04256668471606,840.6686158065731,1.9357336430507162,388.86269599303137,783.6084265886095,0,358.8165926706323,763.1892804171767,11.160202885812641,47.4677061098555,0.5481418918918919
2400302-020,24,003,02-020,929.6194824961948,436.6240487062405,6.380517503805175,5.380517503805175,2,480.29832572298324,857.6301369863014,7.15220700152207,620.8219178082192,725.7260273972603,2,559.4733637747337,727.1719939117199,11.076103500761034,69.34855403348554,3
2400302-021,24,003,02-021,1577.4640883977902,458.95911602209947,12.477348066298342,7.397790055248619,0.15911602209944753,839.9823204419889,1163.3723756906077,0,1144.767955801105,884.8596685082873,3,1004.5624309392266,925.7348066298342,18.954696132596684,92.85303867403316,3
2400302-022,24,003,02-022,972.227352691348,252.51562079980215,8.490551146083938,12.9582077167793,1.8511725309684715,529.423329160124,681.9035087378874,0.11448196908986835,698.1158641530094,529.9402157051721,0.04579278763594734,624.180009515073,525.2664915901149,20.63765456646887,60.143646230944746,1.8511725309684715
2400302-023,24,003,02-023,1088,506,10,9,2,582,976,2,720,874,4,612,880,30,91,0
2400302-024,24,003,02-024,699.5359116022099,335.04088397790053,5.522651933701657,4.602209944751381,1.8408839779005524,370.0176795580111,640.6276243093922,0,483.23204419889504,542.1403314917127,0,411.4375690607735,552.2651933701658,11.045303867403314,56.14696132596685,0
2400303-001,24,003,03-001,1078,249,9,2,0,577,720,3,817,502,0,698,550,9,72,2
2400303-002,24,003,03-002,211.8819694630297,35.79087322010636,2.0042889003259563,0.8589809572825527,0,114.24446731857952,134.28735632183907,0.5726539715217018,157.19351518270716,89.90667352890719,0.2863269857608509,141.44553096586034,89.04769257162464,3.722250814891062,15.7479842168468,0.5726539715217018
2400303-003,24,003,03-003,1204.3177428845495,295.344589326449,9.558077324480552,4.779038662240276,2.8674231973441655,719.7232225333855,752.2206854366194,0,956.7635401805031,519.0035987192939,0,846.8456509489769,539.0755611007031,20.071962381409158,75.50881086339635,2.8674231973441655
2400303-004,24,003,03-004,1282.7798180910602,399.8888601509029,13.09349061977032,5.04674530988516,6.028047185931096,754.0398436687051,904.3577117759241,0,969.358411039009,713.0765406535284,1,866.2832689116503,692.2728709550461,25.196330301517673,102.73857589618552,5.028047185931096
2400303-005,24,003,03-005,1486.606896551724,507,17.82758620689655,7.731034482758621,3,810.8896551724138,1172.6965517241379,2,1054.193103448276,931.4896551724138,0,942.9931034482759,922.5448275862069,33.11724137931034,103.02758620689654,2
2400303-006,24,003,03-006,2630.4719197857285,1571.1304928400214,32.11256250017601,25.6513146154374,2.1972145620927512,1462.4385034511056,2665.7161986088645,3.0381490038748393,1763.8844056925627,2445.5719258970253,0.9878487813759466,1586.5063437643098,2414.512097413155,52.87353421281692,183.00042771471718,2.1226119023457515
2400303-007,24,003,03-007,1025.1865066493676,250.51897502432698,8.319818358741486,1.8488485241647745,1.8488485241647745,521.3752838144665,727.5218942588388,1.8488485241647745,696.0914693480377,576.8407395394097,0,618.4398313331171,546.3347388906909,19.412909503730134,98.91339604281545,0
2400303-008,24,003,03-008,937.0243930695208,574.1275262786207,10.498130930590376,5.370860086633211,2,488.62181453022527,1016.6639074596176,2.1303040927983403,621.4412544786668,902.232646205883,2,541.9253478252881,888.8229183972037,18.50450899588037,74.96222839422406,3.04526548954615
2400303-009,24,003,03-009,509.26001160766106,89.86941381311667,4.85780615206036,0,1.6192687173534532,286.61056297156125,292.2780034822983,0,384.57632037144515,204.02785838653512,0,360.28728961114336,197.5507835171213,5.667440510737086,29.146836912362158,0
2400303-010,24,003,03-010,1354.660326539491,173.8411405530263,1.9781555912047915,8.882265180245888,0.005552851478763924,751.4327027340746,745.4715822733622,0.0022211405915055693,1046.6222288891242,447.33869999286406,0,953.8210544983407,456.2109700404482,6.916325862294377,85.89706480174242,0.003331710887258354
2400303-011,24,003,03-011,1596.8687203850952,218.66510807096145,9.755826140168734,2.1388761846043525,1.2323270916517508,843.4793519094651,952.1587236212276,0.3577836885995759,1207.511663995568,589.2360322152845,0.006401137980085348,1113.047230226052,596.8533221899914,9.244755159189712,94.41430945554568,0.8873456790123457
2400303-012,24,003,03-012,1194.448685951043,125.58577907825666,8.478625279107925,1.7048464821699023,1.6400316673550874,675.1165146025367,622.4866454553734,1.5752168525402725,932.5961411743549,358.0649682838852,0,874.3044945776742,364.07674889865075,6.167020488492795,66.7744891678274,0.07121737583922458
2400303-013,24,003,03-013,1408.7488846023732,250.6119499337732,5.762620017833897,5.352553583831834,4.993866096815709,818.6432370282239,807.320342169183,2.214603433510164,1093.53101937011,547.2073597737109,0,1006.2852944124412,543.083340359313,12.999223135009656,87.42497686170043,2.996319658089425
2400303-014,24,003,03-014,691.5250441315818,126.89679799519963,4.999020687731179,2.4941063294548846,0,359.6152072380604,448.99233000322266,1.662737552969923,513.040149879029,288.9488612368387,2.4724902718120645,457.4681382003934,281.5313904214025,9.987233346640949,62.95705840760746,1.662737552969923
2400303-015,24,003,03-015,1061.4904356110496,150.52645189048698,7.385747589694958,3.076475598405423,0.04783950617283951,615.2176672286322,572.1395759794882,1.9871977240398293,840.6650949194809,346.835666807158,0.9935988620199147,749.7729198496743,377.97210807298524,8.379346451714873,63.969326782923275,0.04783950617283951
2400303-016,24,003,03-016,1027,213,10,3,0,551,673,0,744,474,0,663,481,9,93,0
2400303-017,24,003,03-017,1103.7389984825493,106.75508345978756,1.8094081942336875,4.523520485584219,4.523520485584219,639.6257966616084,522.0142640364188,6.332928679817906,838.6606980273141,329.3122913505311,0.9047040971168437,754.5232169954476,339.2640364188164,11.761153262518967,82.32807283763277,0
2400303-018,24,003,03-018,1222.1704076737185,179.86240245669035,3.041172220797578,2.877224850737862,1.923436971949983,715.2621752165129,663.283689881196,2.0239394845127974,973.5381685661607,403.2699513394391,0,898.1057451417275,412.23116453904083,15.3965223209661,57.23688638642123,0
2400303-019,24,003,03-019,1712.6378331087153,190.10013778128902,9.457110291786586,1.64891722686559,0.20681900592796235,953.0463757899201,927.5083402864001,0.8233732600933673,1293.9948768486086,569.2698874915827,0.4202591618125935,1174.7641519043402,583.8511617477767,28.412711652418228,101.67419818919137,2.6957980055914312
2400303-020,24,003,03-020,982.0158604282315,97.83584456780333,8.229183187946074,4.571768437747819,0.9143536875495638,553.183980967486,512.9524187153053,0,749.7700237906423,313.6233148295004,0,672.0499603489294,328.2529738302934,11.88659793814433,64.91911181601903,0
2400303-021,24,003,03-021,1062,348,6,3,1,559,843,2,732,672,1,666,641,16,79,5
2400303-022,24,003,03-022,880.8016181638519,205.4567245045985,4.91822077426608,5.810517055274371e-4,5.810517055274371e-4,437.07002595570907,630.4685394598985,4.906986802168744,638.6178956746404,440.7282604669127,0,566.8219442390418,456.39530224427324,3.978931456096684,63.95312700867433,0.003977078047989902
2400303-023,24,003,03-023,1224.4035388400885,209.31611633299008,5.625707361011218,0.9297373047840535,0.4764795144157815,645.0868323898147,752.9587497742934,2.659814426132747,861.5832960191547,549.4023009682624,0.0952959028831563,773.2297258498304,551.9940191447338,19.22045164174348,83.08728669726815,0.9963715529753265
2400303-024,24,003,03-024,1344.4918258683956,347.4560230353176,13.482416897029077,7.750480567284911,1.0910590393406316,745.590497502756,929.7777554146178,0.4054669943372226,999.1455366974683,685.948228866445,1.438310891984995,873.1925663194439,701.8267291142794,24.964205593213002,98.50369381241131,3.2873903176378403
2400303-025,24,003,03-025,520,476,9,5,1,224,776,5,319,686,3,297,674,7,41,1
2400304-001,24,003,04-001,589.2982169578015,920.0680386187418,14.349255502799087,6.7598284488920655,0,249.45352169270265,1233.3931768601108,1.9313795568263046,306.7824981171999,1209.2755403215365,1.9313795568263046,276.6043187399146,1183.4060530644786,13.922152239414366,51.24382566403181,1.9313795568263046
2400304-002,24,003,04-002,869,662,13,10,2,471,1028,0,541,1000,3,443,1007,29,74,3
2400304-003,24,003,04-003,772.8943506969919,292.66691122523844,11.77916360968452,1.8121790168745415,1.8121790168745415,444.88994864269995,619.7652237710931,3.624358033749083,550.9024211298606,518.2831988261188,1.8121790168745415,488.3822450476889,521.9075568598679,15.403521643433603,59.801907556859874,1.8121790168745415
2400304-004,24,003,04-004,1102.9092224231465,261.6115732368897,5.646292947558771,6.587341772151899,0,608.8585895117541,740.605424954792,0,790.4810126582279,566.5113924050632,1.8820976491862569,722.7254972875227,553.3367088607595,19.762025316455695,71.51971066907775,2.8231464737793854
