GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGJAN,G20PRECBLA,G20PREIPIE,G20PREOFUE,G20USSRSUL,G20USSDGRO,G20USSOHOW,G20HALRYOU,G20HALDGAL
0210033-545,02,100,33-545,842.0572504204049,1327.7864623789608,25.878914149291695,17.916333959495116,11.944083780562506,2.9860313595731944,6.248659540659004e-5,870.922050127214,1272.0475887246444,57.72997433319032,869.9266924547794,1298.9220896638872
0210033-550,02,100,33-550,140,245,2,0,0,0,0,133,243,8,127,263
0210533-505,02,105,33-505,178.23317164017533,545.0981689929006,14.099364613055034,5.068790885961177,2.045860590640785,0.011465147660196205,0,176.34400140089056,576.8841529032436,14.22165952143046,184.34017968500382,553.9873392321854
0210533-530,02,105,33-530,17.83251888049756,37.8560639715682,0.36517103509551313,0.42603287427809866,0,0.18258551754775657,0,17.954242558862727,36.5779653487339,1.7041314971123946,17.771657041314974,38.89071523767215
0210533-555,02,105,33-555,0,0,0,0,0,0,0,0,0,0,0,0
0210535-700,02,105,35-700,67.13826637448193,411.4330166324457,4.017816690849967,6.005349866677727,5.001551968712249,0.0015191591861910836,0,87.1501729564643,308.4151343225436,51.01413300616397,134.14364905068572,304.44155556067165
0210535-720,02,105,35-720,265,418,7,6,2,2,3,256,353,54,266,421
0210535-750,02,105,35-750,43,57,0,2,0,0,0,36,48,7,44,46
0210535-755,02,105,35-755,0,0,0,0,0,0,0,0,0,0,0,0
0210535-775,02,105,35-775,15.711858700152014,83.12248168558249,2.0218774541417877,0.015145929790468367,0.010097286526978912,0.002524321631744728,0,11.736260475925546,95.07536101512325,2.048803551547065,15.735419035381632,86.09807990980896
0211033-500,02,110,33-500,320.9364107731879,1156.7708014472848,28.994255178886135,9.998019027202115,4.999009513601058,1.9996038054404233,0,322.9360145786283,1121.7777348520774,42.9914818169691,333.93383550855066,1141.7737729064816
0211033-510,02,110,33-510,265.92532285233017,725.7961819202695,42.987928130263896,11.996631106120157,1.999438517686693,3.998877035373386,0,306.9138124649074,686.807130825379,19.994385176866928,275.9225154407636,766.7846715328467
0211033-515,02,110,33-515,183,713,23,7,0,7,0,173,782,23,163,797
0211033-520,02,110,33-520,134,364,14,3,0,0,0,142,364,8,132,385
0211033-525,02,110,33-525,471,1028,23,13,2,2,3,427,1013,83,455,1086
0211033-530,02,110,33-530,275.16748111950244,584.1439360284318,5.634828964904487,6.573967125721901,0,2.8174144824522434,0,277.04575744113725,564.4220346512661,26.295868502887604,274.228342958685,600.1092847623278
0211034-400,02,110,34-400,498.8036951501155,694.5866050808314,37.38568129330254,6.886836027713626,0,0,1.9676674364896074,523.3995381062356,715.2471131639724,25.579676674364897,526.35103926097,684.7482678983833
0211034-410,02,110,34-410,493.19630484988454,729.4133949191686,31.61431870669746,4.113163972286374,3,6,3.0323325635103924,508.6004618937644,688.7528868360278,57.4203233256351,510.64896073903003,736.2517321016167
0211034-420,02,110,34-420,456,641,18,3,3,0,0,478,627,19,461,648
0211034-430,02,110,34-430,676,840,50,18,8,11,0,673,826,84,665,926
0211034-440,02,110,34-440,673,924,35,3,14,6,1,691,889,73,680,948
0211034-450,02,110,34-450,639,718,43,15,0,11,0,651,740,53,625,829
0211034-460,02,110,34-460,1108,1231,64,18,8,0,0,1143,1137,116,1100,1329
0212229-100,02,122,29-100,637.4089715771876,528.9550544736684,25.960861854265406,13.3252607120927,1.8686559974213426,0.24466812743805222,0.048933625487610447,615.1762431875201,523.563177441139,61.80327297329599,616.6977786096662,570.2749834405845
0212229-110,02,122,29-110,128.00382221700593,198.00464661675232,11.00012490905248,6.0000499636209925,0,0,0,133.00367232614295,201.0046466167523,9.00019985448397,131.00399708967942,193.00424690778436
0212229-115,02,122,29-115,625.8759047232184,203.03817719567127,9.527829015672776,6.565880599935523,0.22890245862124375,0.011811023622047244,0,601.3631267386404,191.6307133597029,40.44395827349494,606.9811971994844,227.30345758994974
0212229-120,02,122,29-120,47.12971029469372,121.22754557347467,2.005765290104142,1.999991267350527,0.0019246742512050042,1.002882645052071,0,40.12107982483645,136.2486514953669,6.0172958703124255,49.13451324767226,119.24102702588259
0212229-130,02,122,29-130,524.5921781999282,161.41280917097123,12.344775229423538,2.0443228140416645,2.0788145900550936,0.02463698286673506,0.004927396573347013,511.44451071099775,189.4026218061661,15.581254632266507,520.5528065375784,182.5998008120146
0212229-140,02,122,29-140,173.06367346938777,133.5665306122449,1.5314285714285716,2.2277551020408164,5.075918367346939,0,0,170.40571428571428,129.51591836734696,10.26530612244898,171.70938775510203,129.64244897959185
0212229-150,02,122,29-150,1416.9568345323742,371.81294964028774,39.611510791366904,7.870503597122302,1.79136690647482,2.079136690647482,2,1343.4676258992806,365.8705035971223,106.7841726618705,1372.158273381295,431.80575539568343
0212229-160,02,122,29-160,1326.0431654676258,242.18705035971223,30.388489208633093,10.129496402877699,9.20863309352518,0.9208633093525179,0,1250.5323741007194,266.1294964028777,102.2158273381295,1281.841726618705,335.19424460431657
0212229-170,02,122,29-170,428.04004271999776,509.36754754921475,16.018717561201278,5.667905713961953,0.13133327742461084,4.748572771989678,0.9497145543979355,448.24181150334266,440.8567663551388,43.1409616079029,459.70405279483015,462.1190081856025
0212229-180,02,122,29-180,1081.0787401574803,251,22.728346456692915,4.940944881889764,2.9645669291338583,0.9881889763779528,0,1071.1968503937007,216.41338582677167,56.326771653543304,1063.291338582677,281.63385826771656
0212229-190,02,122,29-190,1087.086780189783,274.0936955673989,19.199211404306944,8.255531002209802,2.730612244897959,0,0,1063.177312708523,272.15651458035444,45.90298539798085,1074.152840244378,277.0790848823606
0212230-200,02,122,30-200,1124.9485185995104,343.44472144776796,39.027834710803454,6.400208639449174e-4,1.9513277334537782,2.926751592356688,0,1087.8764917682083,296.61381587617325,76.10194160991333,1100.5579619652422,371.7398536115357
0212230-210,02,122,30-210,1670.463893937732,501.39380008406306,62.55367052753749,18.22521741703894,5.1051328141051195,3.0732255361423695,0.9999923761663524,1661.5924804264303,485.2078363882404,90.1573494094784,1644.5156491674786,588.227993228978
0212230-220,02,122,30-220,1312,562,52,7,1,6,1,1253,518,115,1238,646
0212230-230,02,122,30-230,740,314,20,4,1,0,0,728,304,50,740,323
0212230-240,02,122,30-240,586.9305190027463,229.345878387536,26.20757293112374,3.743638624361621,0.9410318733187447,0.0018841097960393416,3.798714926668976e-4,587.8543283739127,212.51434690963532,37.44609253770588,581.3171236759957,248.06142765656273
0212230-250,02,122,30-250,1741.9597917202138,691.7043875343466,69.87933115301057,8.996069537617924,15.923692989067264,4.973501778838168,0.9947003557676337,1712.0891845938725,689.5448468856089,117.7743403631678,1733.9216948720634,729.7120749712902
0212231-300,02,122,31-300,1337,731,47,15,10,5,3,1302,732,80,1338,757
0212231-310,02,122,31-310,239.08743499033224,330.59772646666727,10.12566640687642,1.287104512600538,0.009169805031850959,2.513076991655403,0.006113203354567306,239.05992557523666,307.40219822153,18.35277036246351,242.88761649458817,317.4239401713788
0212231-320,02,122,31-320,404.00391995694736,199.00476543785757,11.000128103168215,8.000051241267286,0,0,0,384.0037662331455,229.00476543785757,21.00020496506914,387.00409930138284,243.0043555077193
0212231-340,02,122,31-340,922.0086947540791,286.2638446276635,48.68000131774017,6.815411346317319,0,0,0,894.7473742331694,306.7091040735369,64.2578291444687,882.0928966707276,424.5101429182167
0212231-350,02,122,31-350,786.9497006087968,857.4675637905237,38.32480812211674,9.867746106740862,7.033062182061259,4.51507766640667,0.022041454707505483,785.850514062613,828.6349373775989,64.4637147213366,780.3325243819443,891.5850407696881
0212231-360,02,122,31-360,736.6610624162307,784.2502222707711,32.7634642576383,12.884330195377865,3.029987867568598,2.1006453063014745,2.1006453063014745,728.0550191810594,779.7299751267973,59.10401250448855,748.9844758964706,776.9034492691942
0212231-370,02,122,31-370,578.3018019846403,910.6844874720379,23.786061213368537,19.960819185280734,1.9277801453382928,1.8712000356364524,1.8712000356364524,576.034541181091,891.2328892740736,41.07950241171133,580.7953832269969,884.087569789739
0212231-380,02,122,31-380,1146.3266978922718,425.0327868852459,32.175644028103044,13.024590163934427,5,2,0,1093.228337236534,433.10655737704917,80.23185011709602,1117.1826697892272,508.53161592505853
0212231-390,02,122,31-390,802,519,5,13,0,0,0,741,547,68,770,571
0212232-847,02,122,32-847,175.20786595280526,193.3713745033239,6.164525240528348,2.16673286817795,1.0725154046451329e-5,0.006759100572270538,0.0013528248007680526,168.5988123598128,193.75499977819356,9.565687365801162,181.3145208147813,180.55567524625084
0212232-855,02,122,32-855,2.0000286291701084,87.99772827832354,0,1.999949271750755,0,0,0,11.99993370276259,67.99779909500954,3.000340534077739,16.999985436333024,62.998183827245555
0213036-600,02,130,36-600,462.9750731690089,446.97593457137583,40.99779265643492,8.99951546116864,2.999838487056213,1.9998923247041422,1.9998923247041422,433.97663446079883,440.9762575972634,77.99580066346154,454.97550387019237,494.9733503642752
0213036-610,02,130,36-610,704,541,41,11,5,6,0,682,540,69,684,599
0213036-620,02,130,36-620,632,361,32,4,2,0,2,605,384,39,617,391
0213036-640,02,130,36-640,501.0249268309911,221.02406542862423,21.002207343565086,2.00048453883136,2.000161512943787,1.0767529585782855e-4,1.000107675295858,500.02336553920117,198.02374240273664,42.004199336538456,503.0244961298077,240.02664963572482
0213036-650,02,130,36-650,887.6707404744787,394.4104960460101,36.574406901509704,11.86196980589504,2.96549245147376,0,0,865.9237958303379,415.1689432063264,49.424874191229335,876.7972681524084,446.80086268871315
0213036-660,02,130,36-660,58.08036199768479,119.11396274101457,0,0.9844129152149964,0.9844129152149964,1.9688258304299928,0.9844129152149964,57.09594908246979,80.7218590476297,26.5791487108049,69.89331698026474,94.50363986063965
0213036-670,02,130,36-670,783.7276438647714,532.0409389685733,40.64524851345985,11.59315845822753,1.4629481457541593,2.5957023505059023,0.21742330084827727,792.9987832254478,532.0640677759582,42.665752257172734,802.3645230536189,552.7989761439638
0215032-800,02,150,32-800,54.99999999999999,37,0,5,0,0,0,50,44,5,60,32
0215032-810,02,150,32-810,584,398,26,6,0,0,0,587,382,31,576,406
0215032-815,02,150,32-815,19.075890853003106,10.122123319007994,0.004458869318265685,6.006778378569988,0.00891773863653137,2.0066883039773984,0,22.083029529943452,7.112304834445563,8.020200023821081,21.08548415108406,19.13660342921455
0215032-820,02,150,32-820,632.2386712421172,460.42377365406173,25.525985470947123,16.688896051641986,3.926793460819223,3.9267616699388377,9.537264115671924e-5,584.1363812303331,483.98329457464206,67.73864163190923,577.2643257717773,548.7776279352264
0215032-825,02,150,32-825,563.9663277040884,487.0578986088729,21.678341165805957,12.866826014848092,1.640278321096105,3.980089985611021,0.04256675898679123,541.5416101559089,468.0981936584951,51.30694966313958,549.1896338945611,499.30177223834
0215032-830,02,150,32-830,1726.7950010537943,941.5183277370653,94.79567336324692,25.44427793350992,5.432928218084672,5.0931483444501415,2.957337868372052,1688.322008613758,927.9185117668628,144.95440870495116,1676.5460403336615,1087.9205998264335
0215032-835,02,150,32-835,33.92419922158948,52.88183996306596,1.9955411306817343,2.9933116960226016,3.9910822613634687,2.9933116960226016,0,36.917510917612084,48.89075770170249,8.979935088067805,37.91528148295295,59.86623392045203
0215032-840,02,150,32-840,37,85,3,3,2,0,0,45,63,12,56,58
0215032-845,02,150,32-845,68,48,7,2,0,0,0,67,37,14,77,39
0215838-804,02,158,38-804,0,0,0,0,0,0,0,0,0,0,0,0
0215838-834,02,158,38-834,45,97,12,9,3,0,6,51,99,23,86,85
0215838-850,02,158,38-850,25,58,6,3,2,2,2,29,58,9,38,62
0215839-900,02,158,39-900,32.607219622326426,86.95258565953714,13.833365900380908,2.9642926929387663,4.94048782156461,0.9880975643129221,0.9880975643129221,50.39297577995902,67.1906343732787,22.726243979197207,74.10731732346916,63.23824411602701
0215839-904,02,158,39-904,91,137,2,1,1,1,0,94,120,19,109.00000000000001,122
0215839-910,02,158,39-910,86.39278037767357,109.04741434046285,9.16663409961909,3.0357073070612337,7.05951217843539,1.011902435687078,1.011902435687078,101.60702422004097,84.8093656267213,25.273756020802793,113.89268267653085,100.761755883973
0215839-916,02,158,39-916,108,191,1,6,3,2,0,111,158,37,154,150
0215839-918,02,158,39-918,40,111,4,3,1,2,0,53,88,18,84,74
0215839-922,02,158,39-922,60,130,2,1,3,1,1,72,96,36,99,103
0215839-928,02,158,39-928,10,36,1,1,0,0,0,11,22,10,18,30
0215839-930,02,158,39-930,25.696775333030608,98.83375128088694,3.9533500512354776,0.9883375128088694,3.9533500512354776,7.906700102470955,0.9883375128088694,50.40521315325234,71.1603009222386,23.720100307412867,79.06700102470955,61.27692579414991
0215839-934,02,158,39-934,57,138,10,0,1,1,0,54,136,13,61.99999999999999,146
0215839-940,02,158,39-940,50.30322466696939,168.16624871911304,3.046649948764522,8.011662487191131,2.046649948764522,0.09329989752904394,0.011662487191130493,71.59478684674765,138.8396990777614,27.279899692587133,84.93299897529045,155.72307420585008
0216437-708,02,164,37-708,17.944231962329983,12.959723083904986,2.990705327054997,0,0,0,0,18.94113373801498,7.975214205479992,2.990705327054997,21.93183906506998,8.972115981164992
0216437-716,02,164,37-716,20.546081172779548,6.07899629619351,0,0,0,0,0,10,7.052664197462341,4.253291512341396,19.57241327151072,8.546081172779548
0216437-726,02,164,37-726,74.85276035421442,59.5530202801849,0,0.12182290774491784,7.365468723234754,0.12182290774491784,0,78.46187489293902,53.700259925970485,7.852760354214426,81.92374978587803,60.33479120273573
0216437-728,02,164,37-728,15,51,6,8,1,1,4,32,43,13,41,45
0216437-730,02,164,37-730,19.486559256083947,29.403307400174644,5.439648570751065e-4,1.813216190250355e-4,0.276595744680851,0,0,17.13176800538691,28.92722348711498,0.646659322255161,21.947914807123414,23.850297232431966
0216437-738,02,164,37-738,6.147239645785575,54.4469797198151,0,0.8781770922550821,2.6345312767652467,0.8781770922550821,0,10.538125107060987,48.299740074029515,6.147239645785575,21.076250214121973,45.66520879726428
0216437-740,02,164,37-740,8,0,0,1,0,0,1,7,2,1,7,3
0216437-742,02,164,37-742,17.055768037670017,46.04027691609502,1.009294672945003,0,0,0,0,15.058866261985019,45.02478579452001,4.0092946729450025,18.068160934930024,46.02788401883501
0217007-100,02,170,07-100,994,398,50,3,3,6,0,984,341,87,943,473
0217007-105,02,170,07-105,711,196,19,5,3,0,0,699,210,34,698,238
0217007-110,02,170,07-110,1056,395,34,8,14,0,0,1006,360,107,1018,435
0217007-115,02,170,07-115,701.1414504493026,203.94651025720074,42.14237402043973,7.987318448510184,3.002832066668683,4.005332529604884,4.989155703981417,680.9933854256403,203.94184093506084,65.20455399011225,706.9650110191833,234.1802810980439
0217007-120,02,170,07-120,993.8585495506974,296.05348974279923,49.85762597956027,1.0126815514898162,1.9971679333313168,2.994667470395117,0.010844296018583003,953.0066145743597,295.05815906493916,73.79544600988775,959.0349889808168,359.8197189019561
0217007-125,02,170,07-125,1575.0271903323262,467.5287009063444,42.58006042296073,17.157099697885197,9.108761329305137,0,0.02416918429003021,1481.6163141993957,490.66163141993957,128.02719033232628,1485.0151057401813,579.3987915407855
0217007-130,02,170,07-130,1018,269.00000000000006,35.00000000000001,12,2,0,0,967.0000000000001,295,70.00000000000001,972,339
0217008-130,02,170,08-130,562,159,26,3,4,0,0,551,158,42,564,188
0217008-135,02,170,08-135,1446.496118154259,278.25075922103326,48.283496443694766,8.03779952582597,11.075599051651936,3.0377995258259682,0,1406.2487338020019,288.0239620660775,89.47418150721276,1412.2315214734772,370.628754479293
0217008-140,02,170,08-140,1387,472,53,7,3,9,0,1300,444,150,1351,547
0217008-145,02,170,08-145,1157,239,47,3,7,2,0,1082,262,100,1097,337
0217008-150,02,170,08-150,1509.6069362976014,405.6661901910823,45.44533733267063,8.421160347753712,2.0953792279962915,4.01494058159793,5.036872820616059,1436.1031594629665,413.9286432503841,103.76020073745438,1480.919452850589,447.7213659437078
0217008-155,02,170,08-155,1577.0946482164627,422.0183035159664,22.699013966723125,18.714428917443097,0.9988117443280041,0.007107952021323856,0.9845958402853564,1499.0770144172157,435.75999756783347,91.84462327536978,1541.5994423020404,455.56564160588175
0217009-622,02,170,09-622,1375.2359736795256,380.12665265857765,45.421919077285104,19.184110285992755,10.002518814084043,5.000228983098549,9.159323941973185e-4,1335.8880950956914,385.0444437888189,90.89154559168767,1351.191434498168,444.322670065695
0217009-628,02,170,09-628,1644.6233228028864,596.863297090166,64.98511609859429,13.99679423662031,10.997481185915957,0.9997710169014506,3.9990840676058026,1639.6244677183793,632.8550536986182,74.9828262676088,1647.6226358535907,662.8481842056618
0217009-640,02,170,09-640,162.00308928011032,65.00174642550365,1.0001415042345803,3.0000564749124305,0.9999999512379224,5.662119866316058e-6,0,162.00301567255204,62.001633329392554,8.000237418937765,171.0030039094536,58.00187699559512
0217009-645,02,170,09-645,644.1407035175879,326.0100502512563,26.592964824120603,11.819095477386934,0,0,0,621.4874371859296,320.1005025125628,57.12562814070352,641.1859296482412,337.8291457286432
0217010-005,02,170,10-005,622,159,29,3,0,2,3,599,160,52,599,208
0217010-010,02,170,10-010,1268,351,27,8,6,0,2,1210,359,85,1229,408
0217010-015,02,170,10-015,1250,374,76,14,6,5,0,1213,391,96,1210,480
0217010-020,02,170,10-020,786.1167008093183,177.369051419162,15.957934500512781,2.1877602416726267,3.9281145644881588,1.980982373034695,0.011822895341846043,720.1969495913435,166.43576562782758,78.37569895800192,771.5779774382966,198.7741915032196
0217010-025,02,170,10-025,648.8109399889557,147.63336293403924,36.90541403047301,2.9136705886784524,4.181004338281293e-4,2.0905021691406466e-4,0,633.2655797933361,176.7667240173531,33.99853757384427,633.2710150989758,198.13545343620837
0217010-030,02,170,10-030,722.538863080518,239.53127948832142,16.757072481932795,4.928607645997284,1.9714299387746443,6.559812134581555e-5,1.6399530336453887e-5,678.1810990749964,261.2162872355077,44.35802639800699,709.72427328693675,255.30289939335228
0217010-035,02,170,10-035,208.01685387138514,512.1144810402736,20.80160182171593,10.896045168143582,1.981141175508249,0.9905482041587902,0,203.0640531610036,475.46401841763577,37.64104067159048,207.02617136565433,498.24695540601954
0217010-040,02,170,10-040,301.16810504208,76.15539101390515,4.537988658076684,7.255095212482959,0.051696740358884545,0.00945179584120983,0.004190288390436283,288.1462743764605,69.17891067837073,23.39246335586767,298.82192952186455,73.39431048205435
0217010-045,02,170,10-045,1330.7595103193491,397.92855246561845,12.05756763125225,7.066610450249212,1.992833451646963,3.973835500779753,0.9993745764520248,1249.8220010292493,376.15527702892905,96.91567111081805,1299.749319943051,424.9530759386227
0217010-050,02,170,10-050,340,128,8,2,0,1,0,327,135,19,338,138
0217010-055,02,170,10-055,614,171.99999999999997,39,1.9999999999999998,0,3.9999999999999996,0,624,180,31,594,242
0217011-055,02,170,11-055,1139.0002294857493,340.0001138200097,41.00001138200097,9.000003999081422,5.000001538108239,7.000000615243295,9.22864943518383e-7,1121.0002251790463,333.0001153581179,84.0000193801638,1107.0002184113698,434.0001365840116
0217011-060,02,170,11-060,786,340,43,5.999999999999999,0,2.9999999999999996,0,806,318,41,774,380
0217011-065,02,170,11-065,496.28629120449153,233.66396809225557,9.985639662062203,5.991383797237322,0,0,0,469.32506411692356,228.67114826122446,44.93537847927992,465.3308082520987,288.5849862335977
0217011-070,02,170,11-070,772.3019595486355,383.23467221702026,37.98930336653887,13.35186763512924,5.1040456690989515,2.0725089341888445,2.9999990771350564,758.8005871485566,387.6694968322709,64.48519462171394,736.0578718332154,458.7484165558732
0217011-075,02,170,11-075,678.3660262490832,393.15520061443215,45.55450687220121,11.883784401443792,6.932207567508879,0,0,649.6468806122607,416.9227694173197,70.31239104187577,679.3563416158702,436.72907675305936
0217011-085,02,170,11-085,803.8107961741492,363.1515658883269,23.548340920462067,15.697936591112192,0,0,0,842.0147417083191,329.8045798941153,26.540349676059886,816.513851942076,371.0752079411596
0217011-090,02,170,11-090,622,202,21,9,3,1,3,596,212,51,618,239
0217011-095,02,170,11-095,1065.331784716532,508.61001334853785,29.456178379258947,12.764343964345544,1.9637452252839298,3.9274904505678596,0,1107.5523070601364,465.40761839229134,43.20239495624646,1051.5855681395444,567.5223701070557
0217011-099,02,170,11-099,719,368,17,4,0,0,0,686,358,50,701,375
0217012-200,02,170,12-200,656.9990482464289,160.99976676967285,5.999991308186565,1.999997102728855,2.9999956540932824,1.999997102728855,0,648.9990598355135,164.99976097513056,26.999960886839546,641.9990699759625,178.99974069423251
0217012-205,02,170,12-205,856.0999267588709,301.1054153863088,30.422828743946553,6.399014518935908,4.028493865511774,5.025520673063585,0,850.450300608959,312.40770976279333,47.45804957985105,843.2626279552912,350.8825282730971
0217012-210,02,170,12-210,1391.9728096676738,288.4712990936556,47.41993957703928,12.842900302114804,8.891238670694865,0,1.9758308157099698,1358.383685800604,299.33836858006043,83.97280966767372,1390.9848942598187,359.6012084592145
0217012-220,02,170,12-220,1812.4463952518224,691.6146737296043,62.17398937941913,16.024165191585993,4,3.0144991149515947,0,1765.6203846312414,675.2860271240347,96.25131799249431,1784.5285569032148,753.5711763847495
0218039-902,02,180,39-902,31,91,8,6,4.999999999999999,2,1,53.99999999999999,52,34,74,67
0218039-906,02,180,39-906,11,12,0,0,1,1,0,11,14,1,17,9
0218039-908,02,180,39-908,90,52,2,3,4,1,0,75,52,27,91.00000000000001,59
0218039-912,02,180,39-912,73,179,0,11,1,1,2,97,99,54,119,130
0218039-914,02,180,39-914,22.316635745207172,47.14594928880643,0.8991960420531849,0.8991960420531849,0.04081632653061224,0,0,25.299938157081016,39.625850340136054,5.456400742115028,29.836734693877553,40.606679035250465
0218039-920,02,180,39-920,73.81749038868638,57.3231938345391,1.0494296563072094,2.9999999955375976,2.049429654819742,0,0,68.81749039612372,51.77946760623499,20.49429654819742,83.57034208483833,53.52091247166767
0218039-924,02,180,39-924,202.7957497048406,225.65997638724912,11.929161747343565,3.976387249114522,2.9822904368358913,3.976387249114522,0.9940968122786304,227.64817001180637,186.89020070838254,37.77567886658796,206.77213695395514,242.5596221959858
0218039-926,02,180,39-926,306.2042502951594,308.3400236127509,20.070838252656436,15.023612750885478,10.017709563164109,2.023612750885478,5.00590318772137,347.35182998819363,244.1097992916175,61.22432113341204,343.2278630460449,301.4403778040142
0218039-932,02,180,39-932,31,246.00000000000003,3,5,4,3,0,86,144,53.00000000000001,121,166
0218039-936,02,180,39-936,54.18250950570342,44.67680608365019,0.9505703422053232,0,0.9505703422053232,0,0,54.18250950570342,34.22053231939163,9.505703422053232,49.4296577946768,48.47908745247148
0218039-938,02,180,39-938,40.815250159366244,202.25138514851403,0.9893228571015475,9.902476021494868,0.9988732035135931,4.974457602256801,0.9893228571015475,80.37891699294875,130.95470052667068,39.684489481679925,114.10013084182475,140.88491889960372
0218039-942,02,180,39-942,40.002808988764045,51.067415730337075,0.851123595505618,0.851123595505618,3.404494382022472,0,0.851123595505618,43.407303370786515,28.93820224719101,22.129213483146067,54.47191011235955,45.109550561797754
0218039-944,02,180,39-944,47,55,2,3,0,2,0,49,44,15,65,48
0218039-946,02,180,39-946,26.750318837056383,45.574617277947915,0,0.9907525495206069,0.9907525495206069,2.9722576485618206,0,25.759566287535776,38.639349431303664,11.889030594247282,34.676339233221235,42.60235962938609
0218039-948,02,180,39-948,122.00045995923007,194.00101990959712,7.999999999999999,1.0000199982273947,10,0,3,174.00055995036703,127.0007199361862,22.000159985819156,186.0006799397314,147.000759932641
0218039-950,02,180,39-950,3.180805224242046,33.899616237692136,1.0044098835180986,2.044098835180987,0.004409883518098688,0.02204941759049344,0.004409883518098688,14.357200564965995,23.58210462438903,2.1763953407239476,15.50713660458135,24.626203459570014
0218039-952,02,180,39-952,19.683364254792828,75.85405071119357,1.1008039579468152,1.1008039579468152,1.9591836734693877,0,0,36.700061842918984,51.374149659863946,9.543599257884972,44.16326530612245,56.393320964749535
0218540-004,02,185,40-004,43.30797101449275,77.18115942028986,2,3.0181159420289854,0,0,1,38.30797101449275,68.21739130434783,20,51.289855072463766,74.23550724637681
0218540-006,02,185,40-006,41,32,4,3,2,1,2,45,27,15,37,50
0218540-008,02,185,40-008,192,218,5,1,4,3,4,233,157,33,245,175
0218540-010,02,185,40-010,504,508,16,20,4,3,1,585,345,108,593,439
0218540-016,02,185,40-016,69.00000069063877,32.000028546402234,0,5,0,0,0,57.00000184170337,32.00002532342133,20.000000230212923,72.00000092085169,34.00002647448594
0218540-030,02,185,40-030,45.00811135229939,69.02224617259999,2.002065648551773,6.000463172274811,2.0004131297103545,2.0004381509925833,2.0000750638466855,44.008486671532815,57.021207510833925,31.006297030784232,50.01331912164593,83.02083163449333
0218540-032,02,185,40-032,117,116,10,10,2,3,0,142,83,31,151,105
0218540-034,02,185,40-034,37.013553809628746,25.01194875322534,8.000891698001892,9.000535018801134,2.000178339600378,5.000356679200756,5.350188011346131e-4,37.01622890363442,24.007311923615507,24.003388452407187,50.01747728083706,38.01016535722156
0218540-040,02,185,40-040,167,66,5,1.9999999999999998,0,0,0,165,38,30.999999999999996,185,49
0218840-002,02,188,40-002,15.993790265149983,52.97943025330932,4.9980594578593704,0.9996118915718739,0.9996118915718739,0.9996118915718739,0,15.993790265149983,51.97981836173745,14.99417837357811,27.98913296401247,49.980594578593696
0218840-012,02,188,40-012,49,54,4,1,1,1,2,38,35,38,58,59.99999999999999
0218840-014,02,188,40-014,33.25362577933533,42.27438133584592,0.006267259380353803,0.06267259380353803,3.005964363447702,1.0312353315908849,0.006267259380353803,33.504316154549485,34.82384541763664,6.250084583348848,43.716393320372674,34.88651801144018
0218840-018,02,188,40-018,43.473786407766994,74.49708737864077,1.007766990291262,0.02330097087378641,1,1.0155339805825243,1,68.55145631067961,34.341747572815535,14.116504854368932,67.6368932038835,53.32621359223301
0218840-020,02,188,40-020,71,42,2,6,5,2,2,79,31,32,98,50
0218840-022,02,188,40-022,15.000000000000002,39,0,3,0,7,1,22,28,11,21,39
0218840-024,02,188,40-024,280,470,13,5,14,2,5,344,373,74,369,406
0218840-026,02,188,40-026,75.98454457292188,66.98637482086534,4.998983195586966,2.9993899173521794,0.9997966391173931,1.9995932782347863,2.9993899173521794,90.98149415968278,40.99166220381312,18.99613614323047,97.98007063350454,56.988408429691404
0218840-028,02,188,40-028,89,60,7,4,3,1,1,80,51,36,98,68
0218840-036,02,188,40-036,60.526213592233006,63.50291262135922,0.9922330097087378,2.9766990291262134,0,1.9844660194174757,0,70.44854368932039,43.658252427184465,14.883495145631068,81.3631067961165,41.67378640776699
0218840-038,02,188,40-038,12,75,0,0,1,0,0,29,48,6,34,46
0219535-700,02,195,35-700,0,0,0,0,0,0,0,0,0,0,0,0
0219535-730,02,195,35-730,8.686119216340142,23.288870362651103,0.12588578574406004,0.3776573572321801,0.8812005002084201,0.12588578574406004,0,8.937890787828263,18.190496040016672,3.2730304293455603,11.203834931221342,20.141725719049603
0219535-755,02,195,35-755,998.597623089983,533.1833616298811,34.8811544991511,14.949066213921903,6.976230899830221,1.9932088285229204,0,891.9609507640068,694.6332767402376,60.792869269949065,933.8183361629881,663.7385398981324
0219835-705,02,198,35-705,479.89713489137074,342.651292123207,10.270140895297722,6.5355864568641096,2.800953467711429,1.3091786511303267e-5,0.9336467919749727,414.5414143323813,381.86433956007727,60.68750623679438,450.95380941262994,395.8694341932972
0219835-730,02,198,35-730,129.31388078365987,346.7111296373489,1.87411421425594,5.62234264276782,13.11879949979158,1.87411421425594,0,133.06210921217175,270.8095039599833,48.72696957065444,166.79616506877866,299.8582742809504
0219835-735,02,198,35-735,25.461117156232167,26.370442768954746,1.818651225445155,5.455953676335465,0,0,0,17.27718664172897,26.370442768954746,10.002581739948353,26.370442768954746,30.007745219845052
