GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PRECCAS,G16PREIFUE,G16PREOWRI,G16USSRMUR,G16USSDMET,G16USSLMIL,G16USSICRA,G16USSIGIA,G16USSISTO,G16USSOWRI,G16HALRYOU,G16HALDLIN,G16HALLMCD,G16HALISOU,G16HALOWRI
0202023-760,02,020,23-760,307,289,32,11,2,1,8,280,74,160,11,4,106,0,270,261,71,24,1
0202023-765,02,020,23-765,579,513,67,11,2,1,38,524,173,276,4,8,192,6,531,489,118,26,4
0202023-770,02,020,23-770,412,386,51,11,21,3,3,391,121,242,18,2,89,3,395,317,102,46,2
0202024-700,02,020,24-700,644,406,61,28,6,1,25,513,141,362,11,6,126,0,642,388,86,30,2
0202024-705,02,020,24-705,486,376,70,16,6,3,23,462,122,260,8,3,117,4,449,389,100,21,10
0202024-710,02,020,24-710,730,565,92,15,9,5,37,749,139,362,8,3,173,0,792,512,92,27,0
0202024-715,02,020,24-715,559,528,56,7,4,2,36,621,118.99999999999999,265,6.000000000000001,1,163,8,606,452,81,24.000000000000004,6.000000000000001
0202024-720,02,020,24-720,601,410,77,23,14,5,23,530,117,331,8,14,141,4,593,393,124,24,2
0202024-725,02,020,24-725,769,580,104,11,9,2,32,802,126,297,14,7,242,2,748,583,103,37,6
0202024-730,02,020,24-730,920,721,114,18,10,2,57,958,187,432,10,3,239,1,970,633,148,48,5
0202025-840,02,020,25-840,168,159,22,5,1,0,12,155,55,107,6,0,34,0,169,119,49,8,0
0202025-845,02,020,25-845,805,731,98,29,10,4,52,783,234,393,9,11,269,7,785,693,152,49,7
0202025-850,02,020,25-850,584,631,83,15,2,7,26,634,127,284,8,5,271,0,604,597,85,24,4
0202025-855,02,020,25-855,684,486,84,18,14,1,30,522,158,434,7,7,144,6,662,453,130,28,11
0202025-860,02,020,25-860,536,450,85,15,13,6,24,506,154,269,12,2,159,4,525,427,85,44,2
0202025-865,02,020,25-865,453,365,58,11,7,2,25,414,110,257,2,7,108,0,450,361,68,21,1
0202025-870,02,020,25-870,586,564,91,28,20,11,24,544,182,342,17,6,204,1,562,540,135,44,6
0202026-800,02,020,26-800,596,517,77,25,14,2,35,558,141,358,13,11,155,1,591,469,130,39,1
0202026-805,02,020,26-805,637,466,64,21,9,0,26,622,110,275,7.000000000000001,4,194,4,680,428,63,30,4
0202026-810,02,020,26-810,586,312,54,12,6,2,18,486,95,293,2,0,98,0,616,266,61,15,1
0202026-815,02,020,26-815,839,548,92,11,2,1,50,793,127,384,11,0,199,6,859,523,97,29,6
0202026-820,02,020,26-820,767,666,87,7,5,6,51,806,148,324,10,9,273,3,816,603,96,33,2
0202026-825,02,020,26-825,549,408,64,14,11,11,34,450.99999999999994,177,330,8,0,101,5,520,399,101,34,6
0202026-830,02,020,26-830,330,249,35,6,10,1,14,309,74,158,0,2,99,1,351,235,40,10,2
0202026-835,02,020,26-835,244,217,63,12,8,3,20,237,87,153,5,10,63,2,249,220,62,20,1
0202027-900,02,020,27-900,740,659,93,18,9,1,35,593,244,421,15,9,260,2,755,645,101,30,2
0202027-905,02,020,27-905,401,296,42,14,5,8,20,332,108,215.00000000000003,3,10,110,2,395,280,73,24,1
0202027-910,02,020,27-910,675.5937423987601,556.4752689624387,72.62996710080085,28.055749300955828,9.027874650477914,4.016724790286748,31.2898963649703,549.8690014863345,248.7414657027125,396.5198684032034,10.03902451066908,12.078049021338158,134.66341668137434,6.005574930095583,621.487818726944,540.2801464090933,130.84738937452857,49.20627241353656,9.033449580573496
0202027-915,02,020,27-915,385.0036821735727,306.0019840838183,59.000504958269076,7.000044686572484,1.0000223432862423,1.0000134059717454,25.000232370176917,339.0031012481304,144.00059433141405,213.0020198330763,7.000031280600739,2.0000625612014784,67.00053177021256,3.0000044686572482,359.003597269085,301.0018276808146,78.00067923590176,22.000165340318194,4.00002681194349
0202027-920,02,020,27-920,512.0069730073635,575.0037573000842,61.00095624979621,24.00008462387577,11.000042311937886,8.000025387162731,36.000440044154004,549.0058728969785,193.00112549754775,261.0038249991848,2.000059236713039,5.000118473426078,195.0010070241217,8.462387577035242e-6,550.0068122219996,532.003461116519,85.00128628291172,39.00031310834035,1.0000507743254623
0202027-925,02,020,27-925,523,384,52,14,11,10,34,478,116,269,2,3,140,1,506,373,98,34,0
0202027-930,02,020,27-930,740,795,93,28,16,6,44,732,216,414,11,11,295,1,730,735,163,37,8
0202027-935,02,020,27-935,113.00353366762332,169.00190406362228,17.000484592768732,6.000042884315817,4.000021442157909,1.2865294745107688e-5,12.000222998442249,128.0029761715177,43.000570361400364,59.00193837107493,3.001902107191794e-5,1.0000600380421438,85.00051032335821,4.2884315817025626e-6,130.00345218742325,168.0017539685169,12.000651841600419,1.000158671968523,2.5730589490215375e-5
0202028-105,02,020,28-105,649,507,85,9,8,6,45,698,96,269,4,6,226,5,664,502,100,25,2
0202028-110,02,020,28-110,982.7342192691029,743.1794019933554,123.79069767441861,18.398671096345513,15.249169435215947,4,48.04651162790698,911.5847176079734,153.28239202657807,512.5182724252492,7.149501661129568,1,342.8172757475083,4.04983388704319,998.4318936877077,747.8338870431894,146.54152823920265,29.697674418604652,2.3488372093023258
0202028-115,02,020,28-115,680,362,80,8,10,1,52,682,73,276,9,11,140,0,738,360,64,18,5
0202028-120,02,020,28-120,729,492,68,20,4,6,19,671,108,317,4,3,217,3,712,500,83,20,0
0202028-125,02,020,28-125,376.2801475622822,403.79677090769206,53.21101980706723,7.601026769896766,4.750530323691587,2.6737798533983627e-4,19.954990265353178,373.4185103666878,100.7136492641297,181.4935202497432,2.850674698195405,0.0012477639315859029,187.1639429258297,0.9501060647383174,389.5786913107799,378.1431941517966,48.46441102716063,13.30353480422405,6.650653327173108
0202028-130,02,020,28-130,107.89606759043492,105.89799226468614,12.987489617367167,3.99615065149759,0.9990376628743975,2.9971129886231926,4.995188314371988,72.92974938983102,44.95669482934789,73.92878705270542,1.998075325748795,0,48.952845480845475,0,100.90280395031415,107.89606759043492,19.98075325748795,2.9971129886231926,0
0202028-135,02,020,28-135,299.00017028666474,880.0002925437574,91.00001746529894,47.000008732649476,8.000004366324736,5.000004366324736,50.00004366324736,572.0002663458089,235.00007859384527,190.00010042546893,8.000004366324736,6.000013098974209,356.00008296017,4.3663247365188636e-06,332.0002139499121,819.0002707121337,148.0000349305979,36.00001309897421,0
0202028-140,02,020,28-140,1020,742,111,18,6,2,55,1047,136,412,6,6,329,0,1075,700,98,41,3
0202028-145,02,020,28-145,581,524,71,11,4,2,32,563,99,303,4,0,253,1,586,512,90,20,3
0205037-746,02,050,37-746,5.0524298425126055,34.63015034702555,1.0262736959938692,0.9999579065201849,1.052590064976871,6.647326642559767e-7,1.7385279529311716e-6,22.367504408826733,3.1051393616757283,15.2362103706996,0.02631578947368421,0,3.0261922318706067,0,23.367461561127378,11.315333561437695,4.999788620725275,1.0262741945433673,0
0205038-800,02,050,38-800,39.38159482360167,66.95299157591343,9.276407068532354,2.999389196324587,15.998608108033865,3.9806362964622104,8.29515996839473,52.21387004757578,17.794158620573956,56.41709792768487,1.2038386837844959,0.05564789591171822,13.423987052729716,0,75.93074413861389,54.920201920976666,4.961883396599833,1.3707823715196505,2.0737899920986824
0205038-802,02,050,38-802,18.887045509053262,53.828072691580644,7.554816916298636,0.9443521876806629,21.720098561215245,0.9443521040882819,7.554817083483398,36.82973623906204,18.887042666912304,41.55149383377012,3.7774084163531274,0.9443521040882819,11.332226252167954,0,39.66279288569641,66.10464937598925,0.9443524384578063,6.6104648122103535,1.8887042081765637
0205038-804,02,050,38-804,58.028758215247436,99.03401988361747,2.007662569594913,1.0004746868769918,5.00762883136784,0,6.007132933198927,94.05814550194718,19.004101305140967,31.023222018057535,0.9999884337094435,4.999942168547218,18.000773919551044,0,91.06203973730226,65.02329701686892,9.000870331009281,4.000925280528274,0
0205038-806,02,050,38-806,7.948287682133727,45.12491441165229,3.2199486347488846,6.0656678094769685,6.260616444225853,0,6.165667809476969,37.09785961797027,12.394006856861811,15.976455491610695,1.0177226031589894,0.03544520631797897,9.151113015794948,0,26.684246602175328,42.72773974531352,2.154280825271916,1.0886130157949474,0
0205038-808,02,050,38-808,234,395.99999999999994,42,16,26,1,43,385,74,153,7,5,108,0,329,328,59,12,2
0205038-810,02,050,38-810,230.2029879870714,434.39978067853224,42.38046640766168,18.300655948762998,12.521501438627315,2.889577255067842,23.116618040542736,394.9088915259384,98.24562667230661,134.84693856983262,3.852769673423789,0.9631924183559473,109.803935692578,1.9263848367118945,340.0069236796494,341.9333085163613,41.417273989305734,10.59511660191542,1.9263848367118945
0205038-812,02,050,38-812,14,82,9,55,11,6,20,106,18,47,1,2,19,0,80,90,17,9,0
0205038-814,02,050,38-814,7.984775552100634,10.979096833193045,2.9942595920985267,1.581769073977975e-6,2.9942643374057485,0,2.9942659191748224,18.96377273384202,1.9962010059859914,7.984732844335636,1.581769073977975e-6,7.908845369889875e-6,2.847184333160355e-5,0,19.96185346472159,8.982872100670944,1.4235921665801776e-5,6.3270762959119e-6,0
0205038-816,02,050,38-816,1.9473684210526316,23.36842105263158,0.9736842105263158,0,1.9473684210526316,0,0,13.631578947368421,3.8947368421052633,8.763157894736842,0.9736842105263158,0,0.9736842105263158,0,13.631578947368421,11.68421052631579,0,0.9736842105263158,0
0205038-818,02,050,38-818,43.91297785360064,92.66232619288583,4.969246306528503,1.3543002747383484,8.628117459609387,0.34609525390528834,11.714986718096696,81.13652443385931,20.147452288376112,46.577522549222905,1.3599157022340347,0.03986741336194697,8.82375780306889,0.07362601796759405,82.44342475005845,69.31505728125514,7.541318091572716,0.6574451489060973,0.07515593382654116
0205038-820,02,050,38-820,17.001461651164874,56.00230425007168,11.000326722025088,1.000206350752688,5.000103175376344,1.000051587688172,8.0001203712724,65.00312965308244,6.000120371272401,15.001100537347668,1.000051587688172,2,8.000085979480286,1.719589605732537e-5,50.00335319973118,41.00073942353046,1.0003095261290318,7.0000859794802865,1.719589605732537e-5
0205038-822,02,050,38-822,14.473826421037407,69.22101423882717,2.200465024285057,1.0546722793504701,6.255137303635527,0,6.05467227935047,56.25746242506081,14.32803367610282,21.52849870038788,3.018224093116823,0.03644818623364672,4.091120465584117,0,53.166341959476696,34.83830828337387,8.145792744934587,3.0911204655841167,0
0205038-824,02,050,38-824,33,89,7,10,14,2,17,70,30,51,1,0,18,2,71,81,10,7,1
0205038-826,02,050,38-826,42,44,2,0,10,1,10,49,13,38.00000000000001,0,0,5,0,51,44,4,4,0
0205038-828,02,050,38-828,19.702294693312705,115.04452808313452,16.14429744501824,6.047079204433448,13.261404591769342,6.065832104295825,10.134724040309543,90.81870546567599,31.271371906033046,35.977862437367584,2.0156930681444827,1.9969401682821057,26.204009885878275,0,70.30090329541092,104.8160395435131,3.0891747517350434,6.009573404708694,1.0359758838658069
0205038-830,02,050,38-830,32,49,2,1,6,0,11,55,19,21,0,0,4,1,51,44,3,1,0
0205038-832,02,050,38-832,5.997469426011018,50.97455621962954,9.994837175318018,8.995345470169031,12.993312290764981,0.9994817206275054,4.997468510266422,60.96932350329718,6.996561750300705,20.98942565334357,0.9994917051489879,0.9995316432349179,0.9996614420141905,0.9994817206275054,52.97343978471269,33.983027495231546,5.996980184458375,1.999003379340941,0
0205038-836,02,050,38-836,18,52,12,6,6,0,4,68,10,14,0,1,6,1,62,28,3,4,0
0205038-838,02,050,38-838,38.5125,74.0625,1.975,0.9875,0.9875,0,8.8875,69.125,5.925000000000001,36.5375,0,0,4.9375,0,43.45,72.0875,0.9875,0,0
0205038-840,02,050,38-840,13.723666329626926,51.66556735859549,4.843646939868327,2.4218234699341634,8.072744899780545,0.8072744899780545,11.301842859692762,47.62919490870521,25.02550918931969,15.338215309583033,0.8072744899780545,0,1.614548979956109,0,33.905528579078286,49.24374388866132,7.26547040980249,0.8072744899780545,0
0205038-842,02,050,38-842,8,92,6,20,7,1,6,86,15,29,2,0,6,1,64,63,10,5,0
0205038-844,02,050,38-844,7.060640409943583,56.26039705446362,8.007134165875716,12.110579571073593,6.010701248813573,0.0017835414689289166,4.028536663502862,46.22294268361611,18.073125200226087,19.099878322260018,3.01605187322036,0.005350624406786749,5.067774575819299,0,48.15695164926574,34.27644892768398,6.026753122033933,4.014268331751431,1.0053506244067867
0205038-846,02,050,38-846,25.065385896828868,64.59157134952054,10.604586340966058,2.8921599111725613,13.49674625213862,0,2.8921599111725613,66.51967795696892,17.35295946703537,27.95754580800143,0.9640533037241872,1.9281066074483744,4.820266518620936,0,61.69941143834798,44.34645197131261,7.7124264297934975,4.820266518620936,0
0205038-848,02,050,38-848,47.19036144578313,90.44819277108434,9.831325301204819,3.932530120481928,11.797590361445783,1.966265060240964,6.881927710843374,89.46506024096387,21.628915662650602,41.29156626506024,0.983132530120482,0,11.797590361445783,0,72.75180722891567,77.66746987951808,12.780722891566265,2.9493975903614458,0
0205038-852,02,050,38-852,33.93935959005641,145.73960294553638,3.9928658341242844,61.88942042892641,5.989298751186427,0.9982164585310711,15.971463336497138,124.77705731638389,40.92687479977391,55.90012167773998,8.983948126779639,2.9946493755932133,37.9322254241807,0,87.84304835073426,154.723551072316,14.973246877966066,7.985731668248569,2.9946493755932133
0205038-854,02,050,38-854,14.855371900826446,59.421487603305785,1.980716253443526,1.980716253443526,16.836088154269973,0.990358126721763,6.932506887052342,56.4504132231405,11.884297520661155,27.730027548209367,0.990358126721763,0,5.942148760330578,0,66.35399449035812,24.758953168044076,5.942148760330578,4.951790633608815,0
0205038-856,02,050,38-856,18,74,10,1,12,0,11,74,12,27,0,0,10,0,56,56,8,1,0
0205038-858,02,050,38-858,11,91,2,16,10,2,9,75,30,26,2.9999999999999996,2,5.999999999999999,0,54,75,2.9999999999999996,8,0
0205038-860,02,050,38-860,29.133664292242912,29.59087116152583,4.022525370189611,1.0234629683859733,4.1687083074806495,0.010160152650731528,3.0686286322412752,47.55839307000293,1.1188451424233532,17.272606345722835,0.010160152650731528,5.182793724946137e-4,2.057398933996012,5.182793724946137e-4,51.64872439771353,14.251874235299411,2.059990330858485,2.0482753400902696,0
0206037-722,02,060,37-722,137.97497761657453,35.9934724217151,9.99818678380975,0.9998186783809749,0,3.9992747135238997,0,116.97878537057406,17.99673621085755,34.99365374333412,0,0.9998186783809749,6.998730748666825,0,102.98132387324041,40.992565813619976,29.99456035142925,2.999456035142925,0
0206037-734,02,060,37-734,113.47517730496453,82.60992907801419,15.432624113475178,3.631205673758865,4.539007092198582,0.9078014184397163,2.723404255319149,141.61702127659575,17.24822695035461,44.4822695035461,0.9078014184397163,0.9078014184397163,17.24822695035461,0,137.07801418439715,59.91489361702128,22.69503546099291,3.631205673758865,0
0206037-748,02,060,37-748,8.21379336424464,9.707210339561849,2.986833950634415,0,0,0.7467084876586038,0,15.680878240830678,0.7467084876586038,2.986833950634415,0,0,0.7467084876586038,0,13.440752777854868,2.240125462975811,3.733542438293019,0.7467084876586038,0
0206309-650,02,063,09-650,442,237,75,3,15,2,26,367,70,243,4,0,94,0,400,211,131,19,0
0206309-655,02,063,09-655,261,106,39,10,9,1,14,211,38,138,3,4,42,1,220,127,70,16,3
0206309-660,02,063,09-660,399.27766314485274,195.64605494097785,43.9205429459338,19.963883157242638,4.990970789310659,0,17.967494841518374,224.59368551897967,78.85733847110842,265.5196459913271,3.9927766314485273,2.9945824735863957,74.86456183965988,0,286.48172330643183,207.62438483532344,123.77607557490435,19.963883157242638,1.9963883157242637
0206309-665,02,063,09-665,97.72007200720071,64.35283528352835,3.0792079207920793,5.036003600360036,2.009000900090009,1,5.032403240324032,81.4050405040504,27.142214221422144,48.47884788478848,3.007200720072007,0.0054005400540054005,10.135013501350135,1,77.51665166516652,71.37443744374438,15.223222322232223,2.036003600360036,2.0036003600360037
0206332-805,02,063,32-805,451.318433152439,390.41041451903465,82.87484502577972,50.92309754596104,12.980397413676343,1.996984217488668,26.95928693609702,546.1751834831507,103.84317930941074,208.68485072756582,2.995476326233002,0,138.79040311546242,0,441.33351206499566,401.3938277152223,120.81754515806442,27.957779044841352,1.996984217488668
0206332-850,02,063,32-850,6.187041022401015,17.106008005485428,2.8778920616402806,0.07690245403896215,4.607497732023671,1.8381738407913377,1.8758711221829858,23.764292245349335,1.991978748869262,5.820623447274196,0.004523673766997772,0.9175790291400029,0.20959688453756348,0,23.60596366350441,3.35890937219771,2.9351919293555855,2.7949580425786547,0.0030157825113318487
0206606-020,02,066,06-020,108,19,1,8,0,0,1,53,3,61,1,1,11,0,81,26,18,4,0
0206606-025,02,066,06-025,313.2258064516129,97.6774193548387,31.14516129032258,3.4838709677419355,11.209677419354838,0,15.629032258064516,190.66129032258064,49.806451612903224,152.91935483870967,0.24193548387096772,3,63.04838709677419,0.24193548387096772,286.69354838709677,110.79032258064515,48.53225806451613,10.935483870967742,0
0206606-035,02,066,06-035,93.99811251323095,31.999357451312665,8.999819283181687,0,2.9999397610605625,0.9999799203535208,10.999779123888729,68.99861450439293,8.999819283181687,49.998996017676035,0,0,11.99975904424225,0,92.99813259287743,31.999357451312665,13.999718884949292,0,1.9999598407070416
0206606-047,02,066,06-047,119.77419354838709,30.322580645161292,9.854838709677418,1.5161290322580645,3.7903225806451615,0,11.370967741935484,55.33870967741935,18.193548387096772,78.08064516129032,0.7580645161290323,0,18.951612903225804,0.7580645161290323,99.30645161290322,43.20967741935483,20.467741935483872,6.064516129032258,0
0206606-053,02,066,06-053,11.609756097560977,23.902439024390244,2.048780487804878,0,1.3658536585365855,0,0.6829268292682927,17.756097560975608,4.780487804878049,10.926829268292684,0,0,5.463414634146342,0,24.585365853658534,10.926829268292684,2.731707317073171,0.6829268292682927,0
0206606-060,02,066,06-060,2.3990870133131383,3.062664272314645,0,0.05104440453857741,0.05104440453857741,0.05104440453857741,0.15313321361573226,4.236685576701926,0.3573108317700419,1.122976899848703,0,0.05104440453857741,0.3062664272314645,0,4.8492184311648545,1.1740213043872805,0.15313321361573226,0,0
0206606-090,02,066,06-090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0206609-632,02,066,09-632,230.9803882447125,43.996264427564284,13.998811408770454,4.999575503132305,7.9993208050116875,0.9999151006264609,6.999405704385227,111.99049127016363,33.99711342129967,134.98853858457224,0,2.9997453018793827,20.998217113155683,0,179.98471811276298,48.99583993069659,38.99668892443198,15.998641610023375,11.99898120751753
0206806-005,02,068,06-005,72.83209009074017,19.68434867317302,2.9526523009759527,0,0,2.9526523009759527,3.9368697346346035,34.447610178052784,8.857956902927858,43.30556708098064,0.9842174336586509,1.9684348673173018,8.857956902927858,0,52.1635239839085,27.558088142442227,9.84217433658651,9.84217433658651,0
0206806-012,02,068,06-012,88.99867814822275,51.99922647346562,5.9999106606669725,7.999880767111116,0.9999851263651879,0.9999850776031104,1.9999703990166084,68.99897371919796,9.99985126365188,38.99942222005998,0.9999850776031104,4.87620775502362e-8,34.999478642588336,0,73.99890135026908,52.999211892403274,16.99974666058742,9.999850971079415,0
0206806-024,02,068,06-024,71.03502336630197,30.308276636288838,4.735668224420131,0,0,0,0,44.51528130954923,18.942672897680524,32.20254392605689,0,0,13.259871028376368,0,58.72228598280962,31.255410281172868,13.259871028376368,0.9471336448840262,0
0206806-026,02,068,06-026,17.175101016451517,128.09199988370437,3.0310126834477793,3.0032996583776743,1.0025052905258591,0.002662732299178352,0.007959030811626501,35.15742741813262,36.02559341416594,11.081339566902217,3.005364792936502e-4,0.007602079062299108,74.0352575053653,5.64593709899644e-4,17.18892930779781,123.07865212040483,10.02918236828032,3.0079994989638164,0
0206806-040,02,068,06-040,330.0545080193194,161.1035910537566,42.00854781273991,12.007062213718777,8.999030892514554,1.0000249397531327,28.004180327979313,277.0718146332297,56.02374693383371,145.03892418395114,1.001765947198933,9.998303565680137,66.04186600252065,2.0009715893305127,326.0479848666777,159.1056624059489,53.017873240570744,16.003008141503585,0.001433770837717951
0207037-702,02,070,37-702,40.999944486415956,32.9999553183348,0.9999986460101453,0.9999986460101453,1.9999972920202906,0,2.9999959380304357,49.99993230050727,6.999990522071017,14.999979690152179,0,0,11.999983752121743,0,53.99992688454785,24.999966150253634,3.9999945840405813,0.9999986460101453,0
0207037-710,02,070,37-710,62.25688073394495,94.35779816513761,9.938837920489297,2.4464831804281344,1.529051987767584,0.9174311926605504,3.7522935779816513,85.19571865443424,23.08868501529052,39.77981651376147,2.293577981651376,0.9174311926605504,21.03058103975535,0.3058103975535168,83.59633027522935,69.50152905198776,12.314984709480122,4.669724770642201,0.4587155963302752
0207037-714,02,070,37-714,322.74311926605503,439.64220183486236,55.0611620795107,13.553516819571865,8.470948012232416,5.08256880733945,15.247706422018348,377.80428134556576,127.91131498470948,198.22018348623854,12.706422018348624,5.08256880733945,110.96941896024464,1.694189602446483,363.4036697247706,379.49847094801225,62.68501529051988,20.3302752293578,2.541284403669725
0207037-718,02,070,37-718,25,24,0,0,2,0,1,35,3,11,0,0,3,0,31,20,0,1,0
0207037-724,02,070,37-724,17,10,1,2,0,0,1,22,3,5,0,0,1,0,21,11,0,0,0
0207037-732,02,070,37-732,70.17152127424231,86.54479758129932,8.470982965857974,6.270776491409188,6.050881203451072,0.10994764397905758,8.031192389941745,127.17719932158396,10.946685347688224,31.500479315684686,1.0817786298945504,0.9718309859154929,9.901555932453359,0.03664921465968586,137.3719489713148,33.64633876557776,5.51884079345181,4.070570016960401,0.03664921465968586
0207037-736,02,070,37-736,25,155,15,4,19,0,14,153,25,44,1,0,4,0,146,70,7,3,1
0207037-754,02,070,37-754,83.82609442683629,131.45144364157753,18.528484073206652,11.728886901684263,5.948950493095652,2.889968204294305,6.968611256029434,178.8176954736667,7.053118298282955,62.497725447480384,2.918137218378812,0.028169014084507043,5.0983038146689115,0.9633227347647683,191.62258116645376,42.352455059673765,17.480654296188362,4.9292897301618694,0.9633227347647683
0209001-446,02,090,01-446,690.3465809510072,536.1652423481817,112.91913895233479,34.36590092100994,7.887568089968739,10.788370238973075,43.19606774982698,655.7008239555694,132.90878951012706,392.9122020215431,7.869316606853878,12.758741304539022,174.736390581759,8.830166828817037,611.5499898114841,556.0575516626947,170.81389993374196,33.44763749298146,9.821436189304963
0209001-455,02,090,01-455,182,121,13,3,2,1,12,138,39,113,1,1,29,4,169,106,38,7,0
0209001-465,02,090,01-465,253.00000000000003,223,32,17,13,1,12,210,88,166,1,6,54,5,227,202,81,13,0
0209001-470,02,090,01-470,353,380,54,19,11,3,27,367,108,208,6,1,125,1,378,324,77,22,3
0209001-475,02,090,01-475,254.17316017316017,167.45454545454544,25.99134199134199,9.606060606060606,6.138528138528138,3.1904761904761902,22.761904761904763,234.56709956709958,56.33766233766234,113.92640692640693,7.138528138528138,1.225108225108225,62.082251082251084,0.15584415584415584,223.78787878787878,185.8008658008658,47.01298701298701,16.58874458874459,2.173160173160173
0209001-480,02,090,01-480,590.6513145268092,421.7510232323409,87.94808067404266,20.987610160851087,15.99056012255321,1.9988200153191513,46.97227036000006,598.6465945880858,110.9345108502129,324.8082524893621,4.997050038297878,2.998230022978727,107.93628082723417,0.9994100076595757,566.6654743429793,414.7551531787239,126.92507097276611,24.985250191489392,4.997050038297878
0209001-485,02,090,01-485,295.0399029625121,222.04445864722175,42.00418999807875,13.001846337248832,5.001121877738139,5.000170282297845,21.002451847329485,274.0348342277218,96.0167820753708,151.02745743846984,4.001254350480622,1.0010570215578853,54.009023594390946,5.000051332867808,287.03584791896037,199.03584847615522,61.013092161255116,21.00423608878004,2.000210852235182
0209001-490,02,090,01-490,360.95820426003485,390.3030881869144,39.12839615070683,16.62950277598504,9.782024659458255,1.9564590251414338,22.498785188222218,316.9391135774414,148.6870452900144,242.59457668400074,10.760206840435412,8.80377486191887,80.21277801061949,0.9782633208518312,326.7212464233992,316.93809932900797,114.4497223239427,37.17172075256626,1.9564184552040966
0209001-495,02,090,01-495,192,108,8,9,2,0,17,149,25,112,4,1,33,0,191,97,19,12,1
0209002-345,02,090,02-345,1299.5236298312082,443.85727420522244,134.99646011059352,14.900916964772684,29.772819773880325,9.923211039395573,35.75283944393027,842.883990192024,147.93650660551097,670.1597853948629,21.837637368775486,15.878022361926966,81.46756031923796,7.942697263452118,1003.6913355418695,456.79646307379073,269.04734614912684,51.62505877924035,12.901615554251325
0209002-355,02,090,02-355,518.0812202056311,408.65471948930156,65.84957565230451,39.703420613889485,2.9051283376016697,3.8735044501355596,39.703420613889485,438.67437897785214,150.09829744275294,247.9042848086758,10.652137237872788,6.778632787737229,115.2367573915329,3.8735044501355596,421.2436089522421,378.63506000075097,101.67949181605843,37.76666838882171,7.747008900271119
0209002-365,02,090,02-365,972.8992923244421,536.9134458356016,101.68263473053892,29.093086554164397,16.093086554164397,6,88.12411540555253,783.968426782798,200.19978225367447,480.4686989657049,19.10342950462711,14.12411540555253,108.32063146434403,4.0310288513881325,862.3821448013065,505.63418617310833,190.78606423516604,37.10342950462711,5.0310288513881325
0209002-375,02,090,02-375,390.05525428259256,191.9497907899235,67.23600656844465,9.549388665391906,9.176286853494089,0.12868307997439718,12.680223184860845,296.3878545858411,117.93375397475381,149.02343683537538,10.207004877431952,12.088327769722397,32.84064131951736,3.0819184058000997,336.9895565883267,164.93320253287038,78.65009326113955,10.79891827439493,3.1719929654172714
0209003-130,02,090,03-130,1149.5618603411515,340.2310856432125,95.47164179104477,28.57228144989339,18.777576403695807,1.0818941009239518,49.06420575692964,760.6153340440653,116.90187455579246,640.7606787491115,14.329673063255152,8.246242004264392,104.8534381663113,5.141009239516702,985.7034648187633,388.87078891257994,203.5653962331201,42.134221748400854,6.2726545842217485
0209003-135,02,090,03-135,1134.563172049439,223.51992185542872,94.79639593028472,13.96999528643828,22.9507059841841,10.976424498769113,47.897125970371356,728.4354560627943,61.8671218310378,645.6133448336022,12.972138701752124,12.972138041389734,48.894983789648066,0.9978567856660141,951.9553793537933,281.3956155676146,215.53706647906708,48.89498312928568,5.98714080013031
0209003-165,02,090,03-165,1398.0035383528714,293.2685918691572,142.29423765607277,24.579196334045196,21.106720701153996,5.991181401109292,57.83526223225244,832.3620808633835,102.42834492205589,820.1041818138874,30.023844598426273,7.404036003590002,95.99529106132303,1.2961048172771685,1178.8113707647935,358.6483750030297,247.56104782642774,71.97726818077247,9.256211857026749
0209003-175,02,090,03-175,629.4873566029321,189.16415529026776,81.07779149009511,8.481192826873448,12.421827355727872,3.089048206718362,26.59595796382444,416.76523884927,75.37397814642576,357.0574597002605,13.69524103359181,10.103889574504755,59.520088571921,9.139841367786394,493.67146252885743,244.09916146081056,156.73145237209366,29.92873711283395,4.133572310077543
0209003-183,02,090,03-183,1121.820982142857,206.97455357142857,105.85,22.682142857142857,34.02321428571428,1.8901785714285715,40.63883928571428,640.7705357142858,70.88169642857143,678.5741071428571,11.341071428571428,12.286160714285714,82.22276785714286,7.560714285714286,943.1991071428571,287.3071428571429,197.5236607142857,49.144642857142856,9.450892857142858
0209004-230,02,090,04-230,239,470,37,23,10,0,40,280,148,146,2,7,220,4,232,454,82,19,3
0209004-240,02,090,04-240,691.5183411569922,980.9559235728559,79.41196192468577,50.12537971620871,6.028658220847706,5.039405053665596,52.15762021466238,798.3929614407834,243.48360747680502,351.4329110423853,7.0286582208477055,5.0465696088775225,416.63764541386143,8.03224049845367,635.2317589485151,993.0275691249752,153.6233163034376,31.12179743860275,9.035822776059632
0209004-250,02,090,04-250,276,440,43,23,3,1,26,259,122,183,5,6,226,1,240,466,73,17,2
